track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Ghost in the Machine (feat. Phoebe Bridgers),4h5x3XHLVYFJaItKuO2rhy,album,SOS,2022-12-09,,,218586,79,0.837,0.624,0.433,0.0294,6,0.113,-9.572,1,0.0467,124.979,4,0.589,https://open.spotify.com/track/4h5x3XHLVYFJaItKuO2rhy,spotify:track:4h5x3XHLVYFJaItKuO2rhy
Turn The Table,70HsIqEK1ATmos8ZAz4wHC,single,Save Me,2022-06-24,,,171786,42,0.0679,0.707,0.74,0.0000202,0,0.233,-5.187,1,0.092,114.97,4,0.727,https://open.spotify.com/track/70HsIqEK1ATmos8ZAz4wHC,spotify:track:70HsIqEK1ATmos8ZAz4wHC
Bucktooth,59ewp9EGD7BYjb0C3Myv3u,single,Bucktooth,2022-08-25,,,209859,27,0.00957,0.556,0.836,0,2,0.0955,-3.056,1,0.032,144.034,4,0.727,https://open.spotify.com/track/59ewp9EGD7BYjb0C3Myv3u,spotify:track:59ewp9EGD7BYjb0C3Myv3u
Hello World,4Z3dv0ea4R11kqqBkFV1nQ,single,Hello World,2022-08-26,,,271013,41,0.248,0.68,0.792,0.0000838,9,0.0835,-4.288,1,0.0327,118.998,4,0.264,https://open.spotify.com/track/4Z3dv0ea4R11kqqBkFV1nQ,spotify:track:4Z3dv0ea4R11kqqBkFV1nQ
Someone Else’s Cafe / Doomscroller Tries To Relax,0T4thAUeigWf0gwoVIA2vN,album,Misadventures Of Doomscroller,2022-07-22,,,566986,36,0.177,0.53,0.557,0.0253,9,0.1,-6.291,1,0.0451,105.077,4,0.473,https://open.spotify.com/track/0T4thAUeigWf0gwoVIA2vN,spotify:track:0T4thAUeigWf0gwoVIA2vN
All I Wanted,0aoqogVper5TELE3TYCIOE,album,Crybaby,2022-10-21,,,197000,35,0.0123,0.614,0.616,0.0525,7,0.126,-8.556,1,0.0308,90.009,4,0.579,https://open.spotify.com/track/0aoqogVper5TELE3TYCIOE,spotify:track:0aoqogVper5TELE3TYCIOE
LORD FORGIVE ME,3KVS5CzCxsfQ4iZcOpD7xk,album,moMINTs,2022-08-07,,,204000,54,0.292,0.934,0.61,0.00315,4,0.0884,-8.639,0,0.296,120.024,4,0.505,https://open.spotify.com/track/3KVS5CzCxsfQ4iZcOpD7xk,spotify:track:3KVS5CzCxsfQ4iZcOpD7xk
YAH Know,1LzovYtOvkODueiluGyRzF,single,YAH Know,2022-11-18,,,358000,50,0.0277,0.556,0.873,0.0973,5,0.182,-3.645,0,0.0666,145.957,4,0.478,https://open.spotify.com/track/1LzovYtOvkODueiluGyRzF,spotify:track:1LzovYtOvkODueiluGyRzF
Do You Miss Me?,67r7ZHxVxONN9ZQk05AQVL,single,Do you miss me?,2022-11-15,,,128853,65,0.0976,0.647,0.871,0.000534,11,0.173,-7.144,0,0.0936,129.928,4,0.643,https://open.spotify.com/track/67r7ZHxVxONN9ZQk05AQVL,spotify:track:67r7ZHxVxONN9ZQk05AQVL
i'm not crying you're crying,2EEBYFmjdsVLmDhXXGLfZi,single,i'm not crying you're crying,2022-07-13,,,169823,48,0.00000478,0.4,0.97,0.452,1,0.674,-1.325,0,0.0656,97.969,4,0.305,https://open.spotify.com/track/2EEBYFmjdsVLmDhXXGLfZi,spotify:track:2EEBYFmjdsVLmDhXXGLfZi
Passion,6ZJqCviTotiIujl1rfcL53,single,Passion,2021-07-01,,,138268,62,0.49,0.699,0.628,0.782,0,0.101,-5.163,0,0.0369,79.968,4,0.607,https://open.spotify.com/track/6ZJqCviTotiIujl1rfcL53,spotify:track:6ZJqCviTotiIujl1rfcL53
Thank You Mum,6HH6BFEyogscShUs4OXG0N,album,Boulevard (The Complete Series),1995-07-28,,,754693,43,0.114,0.872,0.472,0.474,9,0.0997,-15.501,0,0.0689,121.388,4,0.721,https://open.spotify.com/track/6HH6BFEyogscShUs4OXG0N,spotify:track:6HH6BFEyogscShUs4OXG0N
The Day We Met Never Ended for Me,6TQ3BUr3AmkQSdTrboshob,compilation,After Dark 4,2022-08-12,,,257091,17,0.203,0.515,0.557,0.0374,1,0.134,-9.086,1,0.0291,95.023,4,0.122,https://open.spotify.com/track/6TQ3BUr3AmkQSdTrboshob,spotify:track:6TQ3BUr3AmkQSdTrboshob
Cash Machine,6ie5en0vOy4GUercEUUNfJ,album,Ugly is Beautiful,2020-07-17,,,176950,55,0.0159,0.417,0.624,0.000125,9,0.175,-6.61,1,0.037,200.136,4,0.497,https://open.spotify.com/track/6ie5en0vOy4GUercEUUNfJ,spotify:track:6ie5en0vOy4GUercEUUNfJ
Forever,2319gHincsCeSmc19Efi2j,album,Days Are Gone,2013-09-30,,,245306,50,0.145,0.773,0.867,0.000333,0,0.105,-4.595,1,0.0603,117.984,4,0.592,https://open.spotify.com/track/2319gHincsCeSmc19Efi2j,spotify:track:2319gHincsCeSmc19Efi2j
Cigarettes In Paris,1OMPGlgkSKs4BJhk3Kof9V,single,Cigarettes in Paris,2022-09-16,,,163797,25,0.0653,0.739,0.701,0.000108,9,0.259,-8.039,1,0.0722,105.003,4,0.657,https://open.spotify.com/track/1OMPGlgkSKs4BJhk3Kof9V,spotify:track:1OMPGlgkSKs4BJhk3Kof9V
Armageddin' Down,1PuGx1OD57CBlfYvOqO20Z,album,Count Tutu,2022-09-02,,,514013,0,0.0086,0.445,0.891,0.00522,2,0.0771,-7.152,1,0.114,159.96,4,0.603,https://open.spotify.com/track/1PuGx1OD57CBlfYvOqO20Z,spotify:track:1PuGx1OD57CBlfYvOqO20Z
Run to the Forest,4Rc7iS5uJe9bpJfjp5BZta,single,Run to the Forest,2022-09-30,,,203809,42,0.731,0.665,0.764,0.00063,0,0.0759,-8.273,1,0.125,125.984,4,0.39,https://open.spotify.com/track/4Rc7iS5uJe9bpJfjp5BZta,spotify:track:4Rc7iS5uJe9bpJfjp5BZta
X33 (Angel☆Type!),7ygZMvmeGntR1bYd7AUnTG,single,X33 (Angel☆Type!),2022-09-29,,,265750,12,0.00243,0.627,0.721,0.832,1,0.365,-10.519,1,0.0504,131.992,4,0.23,https://open.spotify.com/track/7ygZMvmeGntR1bYd7AUnTG,spotify:track:7ygZMvmeGntR1bYd7AUnTG
To Feel Again / Trois,4ho6jJU2nbX0NbiF33i4tX,single,To Feel Again / Trois,2022-09-29,,,293489,49,0.00335,0.496,0.873,0.896,4,0.099,-7.547,1,0.0362,130,4,0.0458,https://open.spotify.com/track/4ho6jJU2nbX0NbiF33i4tX,spotify:track:4ho6jJU2nbX0NbiF33i4tX
Couldn't Catch My Breath,0A8BwD0Ir75VxOXbdKQsyE,single,Couldn't Catch My Breath,2022-07-17,,,289071,44,0.0153,0.72,0.895,0.00322,2,0.102,-6.113,1,0.047,142.013,4,0.223,https://open.spotify.com/track/0A8BwD0Ir75VxOXbdKQsyE,spotify:track:0A8BwD0Ir75VxOXbdKQsyE
Koo Koo Fun (feat. Tiwa Savage & DJ Maphorisa),3mO0E6D3BsdBLjDCImi65H,single,Koo Koo Fun (feat. Tiwa Savage & DJ Maphorisa),2022-09-22,,,193274,42,0.00862,0.856,0.759,0.0972,1,0.0709,-7.41,0,0.036,113.004,4,0.153,https://open.spotify.com/track/3mO0E6D3BsdBLjDCImi65H,spotify:track:3mO0E6D3BsdBLjDCImi65H
No More Parties,3R6wLBD4oU6op8L4YfMho9,single,No More Parties,2021-01-22,,,140920,54,0.232,0.847,0.405,0.00000537,11,0.0944,-10.901,1,0.584,156.999,4,0.588,https://open.spotify.com/track/3R6wLBD4oU6op8L4YfMho9,spotify:track:3R6wLBD4oU6op8L4YfMho9
