track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
The Way It Is,6V50MyHPGhEmwYu0Wdyf0t,album,The Way It Is,1986-06-02,,,297853,73,0.607,0.582,0.689,0.0571,7,0.145,-12.203,1,0.0277,111.166,4,0.531,https://open.spotify.com/track/6V50MyHPGhEmwYu0Wdyf0t,spotify:track:6V50MyHPGhEmwYu0Wdyf0t
Punching In A Dream,5PtEpuVX03k9bOUwilL5EO,album,"Passive Me, Aggressive You",2010,,,238133,65,0.00201,0.473,0.883,0.000967,6,0.142,-3.65,1,0.047,115.048,4,0.164,https://open.spotify.com/track/5PtEpuVX03k9bOUwilL5EO,spotify:track:5PtEpuVX03k9bOUwilL5EO
Not Your Fault,31hUonEmUsEVd0FMRv1s5r,album,Megalithic Symphony,2011-03-15,,,242466,54,0.000855,0.591,0.736,0,5,0.061,-5.239,1,0.0354,143.981,4,0.644,https://open.spotify.com/track/31hUonEmUsEVd0FMRv1s5r,spotify:track:31hUonEmUsEVd0FMRv1s5r
Say,3ed3O7nqUGZuqiFFRlOMOP,album,Continuum (Special Edition),2006,,,230226,0,0.554,0.471,0.718,0.00000181,10,0.0788,-6.537,1,0.032,167.835,4,0.536,https://open.spotify.com/track/3ed3O7nqUGZuqiFFRlOMOP,spotify:track:3ed3O7nqUGZuqiFFRlOMOP
Waiting on the World to Change,4SPYW7ZU1JUMSkJtkhCTUf,album,Continuum (Special Edition),2006,,,201173,0,0.159,0.577,0.756,0.000232,2,0.249,-5.82,1,0.115,176.75,4,0.663,https://open.spotify.com/track/4SPYW7ZU1JUMSkJtkhCTUf,spotify:track:4SPYW7ZU1JUMSkJtkhCTUf
Techno Fan,6k1ycJl9AqynX5BBDR8ijn,album,The Wombats Proudly Present... This Modern Glitch,2011-04-25,,,239200,30,0.00131,0.511,0.934,0,2,0.365,-5.504,1,0.139,141.95,4,0.541,https://open.spotify.com/track/6k1ycJl9AqynX5BBDR8ijn,spotify:track:6k1ycJl9AqynX5BBDR8ijn
Magdalena,2o2LnWqiZ5PftYoROPdbE2,album,Flamingo (Deluxe Edition),2010-01-01,,,199053,38,0.00522,0.614,0.838,0.00000234,1,0.141,-5.873,1,0.0448,130.957,4,0.728,https://open.spotify.com/track/2o2LnWqiZ5PftYoROPdbE2,spotify:track:2o2LnWqiZ5PftYoROPdbE2
Another Likely Story,1KpswHhlOxK1vhVFipqKZc,album,"Still Night, Still Light",2009-05-19,,,279066,18,0.00171,0.425,0.582,0.000107,1,0.0443,-10.712,1,0.0286,114.322,4,0.194,https://open.spotify.com/track/1KpswHhlOxK1vhVFipqKZc,spotify:track:1KpswHhlOxK1vhVFipqKZc
The Lucky One,1KpuWb0uPEzSM2PIh5JIwI,album,The Bird Of Music (Bonus Track),2007-03-05,,,272360,20,0.0883,0.312,0.216,0.000469,0,0.0788,-13.123,1,0.0387,80.969,4,0.068,https://open.spotify.com/track/1KpuWb0uPEzSM2PIh5JIwI,spotify:track:1KpuWb0uPEzSM2PIh5JIwI
Better Than,04y7iJXobJhXuxLhC91LAd,album,Grand National,2007-03-23,,,207599,52,0.0284,0.64,0.817,0.0000981,7,0.189,-5.636,1,0.0254,108.185,4,0.772,https://open.spotify.com/track/04y7iJXobJhXuxLhC91LAd,spotify:track:04y7iJXobJhXuxLhC91LAd
