track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
It's Alright,1NCZMAnGrzUmpBzkBlJjNw,album,Dance And Cry,2018-11-02,,,175000,64,0.625,0.711,0.382,0,8,0.241,-10.146,1,0.04,128.023,4,0.62,https://open.spotify.com/track/1NCZMAnGrzUmpBzkBlJjNw,spotify:track:1NCZMAnGrzUmpBzkBlJjNw
Unholy (feat. Kim Petras) - Disclosure Remix,4y5CHkxTCrgi5coGEAMfMc,single,Unholy (feat. Kim Petras) [ACRAZE Remix],2022-10-12,,,234411,55,0.00495,0.742,0.778,0.00754,1,0.343,-6.762,1,0.0505,128.014,4,0.171,https://open.spotify.com/track/4y5CHkxTCrgi5coGEAMfMc,spotify:track:4y5CHkxTCrgi5coGEAMfMc
Midnight - Original Mix,5jAAoKfKfENn8EfjqfItKX,single,Midnight EP,2016-02-15,,,419897,53,0.00538,0.546,0.889,0.422,0,0.156,-9.965,1,0.0376,123.979,4,0.107,https://open.spotify.com/track/5jAAoKfKfENn8EfjqfItKX,spotify:track:5jAAoKfKfENn8EfjqfItKX
Guts,6EAQfh8NCmvE2za0mMMTRn,album,Weeks Above The Earth,2021-10-29,,,206233,54,0.157,0.693,0.649,0.0195,11,0.0783,-7.246,1,0.0257,105.985,4,0.835,https://open.spotify.com/track/6EAQfh8NCmvE2za0mMMTRn,spotify:track:6EAQfh8NCmvE2za0mMMTRn
I'm On Fire,6uWstgXnQXfnAtcowLb9mf,single,I'm on Fire,2020-09-01,,,158620,58,0.135,0.5,0.853,0.682,1,0.162,-6.362,0,0.0376,173.946,4,0.486,https://open.spotify.com/track/6uWstgXnQXfnAtcowLb9mf,spotify:track:6uWstgXnQXfnAtcowLb9mf
Slowly,0G8cT5tSi9q8OXQ68An917,album,Too Real,2017-10-20,,,215733,42,0.487,0.61,0.666,0.00236,11,0.168,-6.418,0,0.039,108.64,4,0.427,https://open.spotify.com/track/0G8cT5tSi9q8OXQ68An917,spotify:track:0G8cT5tSi9q8OXQ68An917
Silence,7vGuf3Y35N4wmASOKLUVVU,single,Silence,2017-08-11,,,180822,84,0.256,0.52,0.761,0.00000496,4,0.17,-3.093,1,0.0853,141.971,4,0.286,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,spotify:track:7vGuf3Y35N4wmASOKLUVVU
Little Things (with Quinn XCII & Chelsea Cutler),52681Ivj8kgCi90Lu8B9fl,album,Here For Now,2020-06-26,,,197453,59,0.189,0.553,0.636,0,6,0.0779,-4.38,1,0.152,81.969,4,0.53,https://open.spotify.com/track/52681Ivj8kgCi90Lu8B9fl,spotify:track:52681Ivj8kgCi90Lu8B9fl
Primary,01XhOduHG9wmJNCHwlCion,album,Rennen,2017-01-13,,,207060,0,0.0581,0.783,0.599,0.133,1,0.11,-14.445,0,0.0693,120.047,4,0.027,https://open.spotify.com/track/01XhOduHG9wmJNCHwlCion,spotify:track:01XhOduHG9wmJNCHwlCion
Dear Mama,6tDxrq4FxEL2q15y37tXT9,album,Me Against The World,1995-03-14,,,280000,75,0.371,0.773,0.54,0,6,0.131,-7.123,1,0.103,84.115,4,0.322,https://open.spotify.com/track/6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9
Flaws,467s88pICKWvIziPXiaFmX,single,Sense,2017-11-09,,,168657,25,0.661,0.622,0.47,0.0122,4,0.117,-11.719,0,0.353,148.106,4,0.171,https://open.spotify.com/track/467s88pICKWvIziPXiaFmX,spotify:track:467s88pICKWvIziPXiaFmX
Save Me,4llpWUJEWKHGVZzYv1nYid,album,Existance,2017-11-11,,,84427,46,0.91,0.491,0.362,0.881,2,0.118,-13.321,1,0.277,159.002,4,0.35,https://open.spotify.com/track/4llpWUJEWKHGVZzYv1nYid,spotify:track:4llpWUJEWKHGVZzYv1nYid
Miss U (Jai Wolf Remix),1WZFduS35Z3BXWg3hLAqdv,single,Frostbite: Remixes,2015-04-20,,,288857,0,0.0946,0.632,0.826,0,7,0.64,-3.863,1,0.0426,139.902,4,0.371,https://open.spotify.com/track/1WZFduS35Z3BXWg3hLAqdv,spotify:track:1WZFduS35Z3BXWg3hLAqdv
U,1m9H7ek2VdVZK95gpzAtBQ,album,U,2016-05-06,,,237032,0,0.137,0.327,0.592,0.123,10,0.0917,-6.351,1,0.0515,178.07,5,0.123,https://open.spotify.com/track/1m9H7ek2VdVZK95gpzAtBQ,spotify:track:1m9H7ek2VdVZK95gpzAtBQ
I'll Come Too,0T3AyN1HbAlRScx2hTMScG,album,Assume Form,2019-01-18,,,222400,0,0.757,0.661,0.472,0.00275,7,0.192,-7.889,1,0.164,73.986,4,0.206,https://open.spotify.com/track/0T3AyN1HbAlRScx2hTMScG,spotify:track:0T3AyN1HbAlRScx2hTMScG
Imported (with 6LACK),5zXmmhtXrhDbYnScaYpqZg,single,Imported (with 6LACK),2019-04-09,,,225040,58,0.199,0.726,0.636,0,7,0.111,-3.615,1,0.0496,111.097,4,0.362,https://open.spotify.com/track/5zXmmhtXrhDbYnScaYpqZg,spotify:track:5zXmmhtXrhDbYnScaYpqZg
Warm Fire Lightning (Flip),447cuOH8DHy18QtQHzcbgc,single,Warm Fire Lightning (Flip),2018-02-22,,,211392,29,0.364,0.86,0.566,0.0428,9,0.0863,-6.26,1,0.0724,132.029,4,0.663,https://open.spotify.com/track/447cuOH8DHy18QtQHzcbgc,spotify:track:447cuOH8DHy18QtQHzcbgc
My Friend the Forest,3UTzBZJoZLMUdsEzTs6ucd,album,All Melody,2018-01-26,,,316167,0,0.952,0.272,0.0118,0.614,8,0.245,-33.838,1,0.0414,78.322,3,0.154,https://open.spotify.com/track/3UTzBZJoZLMUdsEzTs6ucd,spotify:track:3UTzBZJoZLMUdsEzTs6ucd
Loving,2agURy6Jj70naGfDcrKkwY,album,Surf,2017-12-03,,,253698,45,0.547,0.494,0.587,0,9,0.28,-6.478,1,0.171,161.897,4,0.214,https://open.spotify.com/track/2agURy6Jj70naGfDcrKkwY,spotify:track:2agURy6Jj70naGfDcrKkwY
don't let it stress,1o8CnZxucoc4mbZG3Q9VLF,album,civilization,2018-07-16,,,212950,0,0.109,0.654,0.671,0.607,10,0.135,-7.17,0,0.0384,84.02,4,0.789,https://open.spotify.com/track/1o8CnZxucoc4mbZG3Q9VLF,spotify:track:1o8CnZxucoc4mbZG3Q9VLF
