track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Doin' it Right (feat. Panda Bear),36c4JohayB9qd64eidQMBi,album,Random Access Memories,2013-05-20,,,251293,64,0.388,0.804,0.451,0.0000217,6,0.0924,-8.207,1,0.0949,178.061,4,0.19,https://open.spotify.com/track/36c4JohayB9qd64eidQMBi,spotify:track:36c4JohayB9qd64eidQMBi
Mice On Venus,5fqjfiMOFapIb8uFcxBStH,album,Minecraft - Volume Alpha,2011-03-04,,,281500,71,0.961,0.433,0.0286,0.0102,0,0.0594,-17.597,1,0.0527,110.908,4,0.0764,https://open.spotify.com/track/5fqjfiMOFapIb8uFcxBStH,spotify:track:5fqjfiMOFapIb8uFcxBStH
To Her Door,0PQcydd4TsYN9oaL1toInJ,single,To Her Door,2016-09-30,,,235586,0,0.53,0.484,0.709,0.00684,8,0.141,-5.649,1,0.0347,100.051,4,0.152,https://open.spotify.com/track/0PQcydd4TsYN9oaL1toInJ,spotify:track:0PQcydd4TsYN9oaL1toInJ
Borderline,3nVpsnFAnFx3BZiZL0vzPu,single,Borderline - EP,2014-11-23,,,204280,52,0.000647,0.577,0.922,0,8,0.0984,-3.339,0,0.0445,142.037,4,0.679,https://open.spotify.com/track/3nVpsnFAnFx3BZiZL0vzPu,spotify:track:3nVpsnFAnFx3BZiZL0vzPu
Shadow of the Sun,0Ezvb7H0foJvAENGRSpLcT,single,Taped Rai EP,2014-01-14,,,145780,28,0.932,0.583,0.159,0.000273,2,0.0969,-10.469,1,0.0394,126.174,4,0.354,https://open.spotify.com/track/0Ezvb7H0foJvAENGRSpLcT,spotify:track:0Ezvb7H0foJvAENGRSpLcT
Telemiscommunications,2HA2ZegJ07BzXQNGVYXgp2,album,> album title goes here <,2012-09-25,,,247398,0,0.661,0.469,0.426,0,1,0.0914,-14.183,0,0.254,89.892,4,0.403,https://open.spotify.com/track/2HA2ZegJ07BzXQNGVYXgp2,spotify:track:2HA2ZegJ07BzXQNGVYXgp2
Happy Up Here,1ixtaZc0Adil3yD1ItPqSl,single,Happy Up Here,2009-01-16,,,163666,32,0.0123,0.675,0.876,0.115,10,0.252,-3.83,1,0.126,103.482,4,0.653,https://open.spotify.com/track/1ixtaZc0Adil3yD1ItPqSl,spotify:track:1ixtaZc0Adil3yD1ItPqSl
YOLO,1QLphCIfRMZu44Rk1Htp6n,single,YOLO,2013-01-01,,,188786,0,0.0222,0.641,0.838,0,2,0.0652,-3.622,1,0.274,160.057,4,0.667,https://open.spotify.com/track/1QLphCIfRMZu44Rk1Htp6n,spotify:track:1QLphCIfRMZu44Rk1Htp6n
Strobe - Full Length Version,3yIDV5XfbGMV7nps1KJ8o5,single,Strobe,2009,,,634466,0,0.0104,0.432,0.444,0.9,8,0.12,-10.564,0,0.0392,128.022,4,0.0356,https://open.spotify.com/track/3yIDV5XfbGMV7nps1KJ8o5,spotify:track:3yIDV5XfbGMV7nps1KJ8o5
The Veldt - Radio Edit,1vQ92830bxiBcIhpUj4qrn,single,The Veldt,2012-01-01,,,170059,58,0.0573,0.736,0.759,0.207,9,0.0778,-7.066,1,0.0347,128.041,4,0.485,https://open.spotify.com/track/1vQ92830bxiBcIhpUj4qrn,spotify:track:1vQ92830bxiBcIhpUj4qrn
Head Full Of Doubt/Road Full Of Promise,7Kho44itYaCQZvZQVV2SLW,album,I And Love And You,2009-01-01,,,287986,59,0.399,0.309,0.459,0.0000134,7,0.12,-7.29,1,0.0347,175.809,3,0.167,https://open.spotify.com/track/7Kho44itYaCQZvZQVV2SLW,spotify:track:7Kho44itYaCQZvZQVV2SLW
