track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Sweet Ophelia - Gold Fields Remix,1KBjAsuZdgVUNcsd1E7NxR,single,Sweet Ophelia (Gold Fields Remix),2014-01-01,,,307973,25,0.0118,0.739,0.775,0.0107,4,0.48,-8.481,0,0.0903,114.006,4,0.388,https://open.spotify.com/track/1KBjAsuZdgVUNcsd1E7NxR,spotify:track:1KBjAsuZdgVUNcsd1E7NxR
Ecstacy Is On Maple Mountain,2caABDipxldhTNWvVMNh0U,album,Blue Spring,2019-05-03,,,338623,25,0.00173,0.662,0.805,0.75,7,0.0427,-7.638,1,0.0596,125.963,4,0.314,https://open.spotify.com/track/2caABDipxldhTNWvVMNh0U,spotify:track:2caABDipxldhTNWvVMNh0U
Orbit - Hazey Eyes Remix,1AINciWZzmRgF0RH8bmCyf,single,Orbit (Hazey Eyes Remix),2016-04-27,,,175250,29,0.495,0.802,0.515,0.000778,7,0.0654,-11.03,1,0.448,110.026,4,0.311,https://open.spotify.com/track/1AINciWZzmRgF0RH8bmCyf,spotify:track:1AINciWZzmRgF0RH8bmCyf
iigo,4P1yFIlT4eW5gvaYMlNVZz,single,"Joy, Ease, Lightness",2016-12-02,,,272509,31,0.249,0.88,0.715,0.845,6,0.0681,-10.107,1,0.148,120.666,4,0.885,https://open.spotify.com/track/4P1yFIlT4eW5gvaYMlNVZz,spotify:track:4P1yFIlT4eW5gvaYMlNVZz
Mushroom,4oQ9rJSSfyWDs9AgzO0her,album,Fally Lover,1980,,,223466,29,0.218,0.754,0.417,0,10,0.116,-10.261,0,0.103,131.045,4,0.59,https://open.spotify.com/track/4oQ9rJSSfyWDs9AgzO0her,spotify:track:4oQ9rJSSfyWDs9AgzO0her
Skyscrapers,123MzaiLBHtok3Mzo7pDUh,single,Senses,2016-06-10,,,383494,32,0.00159,0.598,0.533,0.119,4,0.279,-5.679,0,0.0272,115.003,4,0.0455,https://open.spotify.com/track/123MzaiLBHtok3Mzo7pDUh,spotify:track:123MzaiLBHtok3Mzo7pDUh
acceptance,50jVzXCidtxHYjQDiQzEjV,single,acceptance,2022-01-28,,,311978,33,0.0555,0.711,0.733,0.872,5,0.064,-7.891,0,0.0393,128.024,4,0.0639,https://open.spotify.com/track/50jVzXCidtxHYjQDiQzEjV,spotify:track:50jVzXCidtxHYjQDiQzEjV
Bhāvachakra,2G688ift9Wa5ZcgZEPKgNl,single,Postcards,2022-07-29,,,211810,44,0.00261,0.667,0.681,0.0417,3,0.116,-6.778,0,0.0334,129.015,4,0.377,https://open.spotify.com/track/2G688ift9Wa5ZcgZEPKgNl,spotify:track:2G688ift9Wa5ZcgZEPKgNl
Jaigantic - Galimatias Remix,0dAY4aJFw74le3PMh3wOHC,single,Jaigantic (Galimatias Remix),2014-12-16,,,179998,45,0.103,0.642,0.539,0,5,0.35,-6.859,1,0.0438,130.021,4,0.476,https://open.spotify.com/track/0dAY4aJFw74le3PMh3wOHC,spotify:track:0dAY4aJFw74le3PMh3wOHC
Opiate,6X4PNtfFJBOAkqUudR6ItT,album,In Praise Of Shadows,2021-02-05,,,151580,47,0.525,0.868,0.334,0.00397,10,0.238,-8.81,0,0.062,104.679,4,0.356,https://open.spotify.com/track/6X4PNtfFJBOAkqUudR6ItT,spotify:track:6X4PNtfFJBOAkqUudR6ItT
In This City,4wqYe3p8xV06OP5S9dBI9s,album,And Then Boom,2009-05-05,,,245400,47,0.000982,0.696,0.841,0,1,0.0429,-2.97,1,0.0346,120.02,4,0.607,https://open.spotify.com/track/4wqYe3p8xV06OP5S9dBI9s,spotify:track:4wqYe3p8xV06OP5S9dBI9s
Sleeping In - Remastered,0bWtmYrWat7IWlpx3rmuwc,album,Give Up (Deluxe 10th Anniversary Edition),2003-02-19,,,261093,50,0.288,0.702,0.68,0.000414,0,0.145,-5.746,1,0.0376,129.004,4,0.538,https://open.spotify.com/track/0bWtmYrWat7IWlpx3rmuwc,spotify:track:0bWtmYrWat7IWlpx3rmuwc
L,6brTu7TkwXtFMjQgcxkMA4,album,Awake,2014-03-18,,,277559,51,0.0309,0.549,0.663,0.887,5,0.0938,-7.553,0,0.0463,114.498,4,0.245,https://open.spotify.com/track/6brTu7TkwXtFMjQgcxkMA4,spotify:track:6brTu7TkwXtFMjQgcxkMA4
