track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Crave You,4ESWJepzBtY2lR9oZDYVaP,album,Down To Earth,2014-10-24,,,234786,1,0.0976,0.921,0.48,0,1,0.0768,-9.2,0,0.0823,120.043,4,0.317,https://open.spotify.com/track/4ESWJepzBtY2lR9oZDYVaP,spotify:track:4ESWJepzBtY2lR9oZDYVaP
Across The Room - AbJo Remix,5POj4MWAYGUozXM21CtS0m,single,Across The Room Remixes,2018-06-20,,,184615,32,0.0357,0.724,0.604,0.00215,1,0.115,-6.838,1,0.0766,104.085,4,0.551,https://open.spotify.com/track/5POj4MWAYGUozXM21CtS0m,spotify:track:5POj4MWAYGUozXM21CtS0m
Warm Water - Snakehips Remix,63Ly2sEzloc9s0yAXlMi6r,single,Warm Water (Snakehips Remix),2013-08-13,,,253584,56,0.241,0.511,0.678,0,4,0.0948,-6.858,0,0.869,212.137,4,0.405,https://open.spotify.com/track/63Ly2sEzloc9s0yAXlMi6r,spotify:track:63Ly2sEzloc9s0yAXlMi6r
Dome,37uKv6hQtfYfNZAU3YWzyN,compilation,World Famous Miami 2019,2019-03-14,,,229523,0,0.000473,0.779,0.895,0.618,0,0.211,-6.249,1,0.113,126.013,4,0.565,https://open.spotify.com/track/37uKv6hQtfYfNZAU3YWzyN,spotify:track:37uKv6hQtfYfNZAU3YWzyN
Beam,4segPIHtcfXxvut82Ad6t7,album,Gouldian Finch 3,2019-04-05,,,260952,0,0.666,0.644,0.864,0.743,2,0.109,-4.487,0,0.0724,125.943,4,0.182,https://open.spotify.com/track/4segPIHtcfXxvut82Ad6t7,spotify:track:4segPIHtcfXxvut82Ad6t7
Disco Yes,61Ivix5DTnDPVjp1dgLyov,album,Geography,2018-04-06,,,280878,3,0.42,0.927,0.551,0.0346,9,0.298,-6.624,0,0.0921,123.042,4,0.665,https://open.spotify.com/track/61Ivix5DTnDPVjp1dgLyov,spotify:track:61Ivix5DTnDPVjp1dgLyov
Доброго вечора - Where Are You From,0O3TZYgwaRadNprRONZ7iX,single,Доброго вечора (Where Are You From),2021-10-29,,,168648,54,0.0454,0.645,0.696,0.336,8,0.341,-5.688,1,0.0352,111.006,4,0.406,https://open.spotify.com/track/0O3TZYgwaRadNprRONZ7iX,spotify:track:0O3TZYgwaRadNprRONZ7iX
Missing You,4EeeRPXUAUQHkBxu3g1LxT,single,Missing You,2017-06-16,,,207265,66,0.00301,0.675,0.811,0.0413,0,0.126,-6.966,0,0.0629,126.023,4,0.271,https://open.spotify.com/track/4EeeRPXUAUQHkBxu3g1LxT,spotify:track:4EeeRPXUAUQHkBxu3g1LxT
Let Go,4oZnV1W54b1TIn96i0KIwV,single,Let Go,2022-04-21,,,126043,69,0.311,0.793,0.564,0.914,9,0.203,-11.307,1,0.125,133.054,4,0.399,https://open.spotify.com/track/4oZnV1W54b1TIn96i0KIwV,spotify:track:4oZnV1W54b1TIn96i0KIwV
Naruda (Fall In Your Arms Again),2e7FLtv5JjOr1IN8yCTcZQ,single,Naruda (Fall In Your Arms Again),2022-02-18,,,200816,40,0.93,0.676,0.33,0.128,9,0.138,-15.591,0,0.237,98.05,4,0.511,https://open.spotify.com/track/2e7FLtv5JjOr1IN8yCTcZQ,spotify:track:2e7FLtv5JjOr1IN8yCTcZQ
