track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Bloom,2vOXCJAFip2Z0vxSGMpSud,single,Bloom,2013-10-08,,,170406,41,0.115,0.648,0.495,0.345,8,0.109,-12.706,1,0.0319,100.013,4,0.21,https://open.spotify.com/track/2vOXCJAFip2Z0vxSGMpSud,spotify:track:2vOXCJAFip2Z0vxSGMpSud
World On Fire,22wcNdDej7sJO0UnaerFN7,single,World On Fire,2017-03-23,,,174400,30,0.791,0.711,0.258,0.000879,10,0.101,-8.956,0,0.0693,75.007,4,0.423,https://open.spotify.com/track/22wcNdDej7sJO0UnaerFN7,spotify:track:22wcNdDej7sJO0UnaerFN7
In My Car,2ztzeB2k8jrwA6y8wCw7kk,album,Good Luck And Do Your Best,2016-05-27,,,267733,0,0.285,0.436,0.811,0.185,4,0.337,-6.478,0,0.498,148.087,4,0.153,https://open.spotify.com/track/2ztzeB2k8jrwA6y8wCw7kk,spotify:track:2ztzeB2k8jrwA6y8wCw7kk
Afro Blue,7e0j6jReCfN5KJkDNLHyHQ,album,Black Radio,2012-02-24,,,307626,54,0.0291,0.775,0.571,0.0882,8,0.0941,-8.097,1,0.0342,97.491,4,0.379,https://open.spotify.com/track/7e0j6jReCfN5KJkDNLHyHQ,spotify:track:7e0j6jReCfN5KJkDNLHyHQ
Make Me Fade,4KAhc69yQjKk9cZUMxZ3n9,album,Life as a Dog,2014-06-24,,,246373,0,0.228,0.583,0.64,0,2,0.246,-7.805,1,0.201,80.012,4,0.235,https://open.spotify.com/track/4KAhc69yQjKk9cZUMxZ3n9,spotify:track:4KAhc69yQjKk9cZUMxZ3n9
Standing Outside a Broken Phone Booth with Money in My Hand,5hcer4MP5GeHqtSjDYx5AC,album,Rocket,1996-06-05,,,336800,56,0.136,0.725,0.614,0.792,0,0.062,-7.015,1,0.0409,95.039,4,0.429,https://open.spotify.com/track/5hcer4MP5GeHqtSjDYx5AC,spotify:track:5hcer4MP5GeHqtSjDYx5AC
Discipline - Louis the Child Remix,5vPNXc2vMhiDFyYoL9yoWc,single,Discipline (Remixes),2015-07-31,,,211933,33,0.217,0.757,0.535,0.00000751,1,0.339,-4.456,1,0.27,128.981,4,0.389,https://open.spotify.com/track/5vPNXc2vMhiDFyYoL9yoWc,spotify:track:5vPNXc2vMhiDFyYoL9yoWc
All My Friends (feat. Tinashe & Chance the Rapper),6TaqooOXAEcijL6G1AWS2K,single,All My Friends (feat. Tinashe & Chance the Rapper),2015-10-21,,,229746,73,0.12,0.681,0.521,0.0000841,0,0.108,-5.849,1,0.141,94.997,4,0.181,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K,spotify:track:6TaqooOXAEcijL6G1AWS2K
Jaigantic - Galimatias Remix,2isZA3W8kLNBi0PC7ZHunG,album,High Enough,2015-06-19,,,179998,0,0.0878,0.663,0.444,0,5,0.358,-10.302,1,0.0462,130.076,4,0.47,https://open.spotify.com/track/2isZA3W8kLNBi0PC7ZHunG,spotify:track:2isZA3W8kLNBi0PC7ZHunG
I Don't F**k With You,6iWpG6qKCNHXuWzQi6lqlq,single,I Don't F**k With You,2015-03-10,,,140869,0,0.25,0.785,0.666,0,1,0.14,-5.993,0,0.0853,92.031,4,0.683,https://open.spotify.com/track/6iWpG6qKCNHXuWzQi6lqlq,spotify:track:6iWpG6qKCNHXuWzQi6lqlq
Blow My High (Members Only),6jl01C724Mk68qlOQLco5I,album,Section.80,2011-07-02,,,215791,0,0.316,0.959,0.524,0,9,0.274,-8.145,0,0.274,119.933,4,0.84,https://open.spotify.com/track/6jl01C724Mk68qlOQLco5I,spotify:track:6jl01C724Mk68qlOQLco5I
Firefly,79nopNMm3rJSUfQfMkG0Ur,album,Someday Somewhere,2015-04-10,,,228000,0,0.415,0.793,0.449,0.00000202,10,0.0642,-9.243,1,0.136,109.982,4,0.46,https://open.spotify.com/track/79nopNMm3rJSUfQfMkG0Ur,spotify:track:79nopNMm3rJSUfQfMkG0Ur
