track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Polygon Dust,0AnJGlNdR56Hco4c2f4IYz,album,Worlds,2014-08-12,,,209466,45,0.0297,0.482,0.757,0,0,0.0819,-3.387,0,0.042,95.002,4,0.412,https://open.spotify.com/track/0AnJGlNdR56Hco4c2f4IYz,spotify:track:0AnJGlNdR56Hco4c2f4IYz
Lionhearted,0nejfXN5tjdICWIdfakXWx,album,Worlds,2014-08-12,,,266106,52,0.0244,0.621,0.74,0.00219,8,0.174,-6.925,1,0.034,119.993,4,0.349,https://open.spotify.com/track/0nejfXN5tjdICWIdfakXWx,spotify:track:0nejfXN5tjdICWIdfakXWx
Divinity,18cCBvygH6yEFDY0cYN3wT,album,Worlds,2014-08-12,,,368373,55,0.00755,0.496,0.55,0.0122,2,0.0814,-5.418,1,0.034,90.036,4,0.144,https://open.spotify.com/track/18cCBvygH6yEFDY0cYN3wT,spotify:track:18cCBvygH6yEFDY0cYN3wT
Sad Machine,1JY6B9ILvmRla2IKKRZvnH,album,Worlds,2014-08-12,,,350690,62,0.034,0.47,0.706,0.00000131,0,0.0726,-4.902,0,0.0322,88.519,4,0.327,https://open.spotify.com/track/1JY6B9ILvmRla2IKKRZvnH,spotify:track:1JY6B9ILvmRla2IKKRZvnH
Fresh Static Snow,1LikBIcmCec6zE64SHFcMK,album,Worlds,2014-08-12,,,358760,47,0.00744,0.636,0.499,0.0169,9,0.112,-5.775,1,0.041,90.996,4,0.234,https://open.spotify.com/track/1LikBIcmCec6zE64SHFcMK,spotify:track:1LikBIcmCec6zE64SHFcMK
Natural Light,1p2t6x0xFXuB6zWcZZ0SmZ,album,Worlds,2014-08-12,,,141226,43,0.39,0.444,0.267,0.875,8,0.102,-11.003,1,0.124,135.108,4,0.0734,https://open.spotify.com/track/1p2t6x0xFXuB6zWcZZ0SmZ,spotify:track:1p2t6x0xFXuB6zWcZZ0SmZ
Fellow Feeling,2JgbGCxtzRp6wL5H1DgxV7,album,Worlds,2014-08-12,,,350173,45,0.0968,0.312,0.545,0.093,8,0.277,-5.336,0,0.0796,128.124,3,0.114,https://open.spotify.com/track/2JgbGCxtzRp6wL5H1DgxV7,spotify:track:2JgbGCxtzRp6wL5H1DgxV7
Sea Of Voices,2lNFWUrxuNaQsf5I1pDTPr,album,Worlds,2014-08-12,,,298980,49,0.206,0.215,0.437,0.576,2,0.0696,-8.103,1,0.0309,127.595,4,0.0445,https://open.spotify.com/track/2lNFWUrxuNaQsf5I1pDTPr,spotify:track:2lNFWUrxuNaQsf5I1pDTPr
Years Of War,4DHkzbZSWxsCsvRoEzr28A,album,Worlds,2014-08-12,,,236053,50,0.00574,0.517,0.74,0.00179,11,0.109,-5.059,1,0.0341,110.001,4,0.174,https://open.spotify.com/track/4DHkzbZSWxsCsvRoEzr28A,spotify:track:4DHkzbZSWxsCsvRoEzr28A
Hear The Bells,5OsKqfRR6OuGGaMcKPG1ti,album,Worlds,2014-08-12,,,286880,46,0.424,0.319,0.64,0.00000263,0,0.294,-3.872,1,0.032,140.054,4,0.0805,https://open.spotify.com/track/5OsKqfRR6OuGGaMcKPG1ti,spotify:track:5OsKqfRR6OuGGaMcKPG1ti
