track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
We Call Love - Original Mix,6uTxj0PWQZddfMN7cntKPj,album,The Drawing Board,2011-04-28,,,379013,27,0.00203,0.821,0.695,0.24,4,0.0925,-9.589,0,0.0573,119.991,4,0.61,https://open.spotify.com/track/6uTxj0PWQZddfMN7cntKPj,spotify:track:6uTxj0PWQZddfMN7cntKPj
Love Tonight,1u73tmG4xQschbK8cXxSD9,single,Love Tonight,2017-12-14,,,493795,67,0.00113,0.796,0.552,0.0101,0,0.0876,-7.226,1,0.0314,123.004,4,0.468,https://open.spotify.com/track/1u73tmG4xQschbK8cXxSD9,spotify:track:1u73tmG4xQschbK8cXxSD9
One Day / Reckoning Song - Club Mix,4VdM1CyQYlkywU6lL2fgw6,single,One Day / Reckoning Song (Wankelmut Remix),2012-08-24,,,438586,0,0.0439,0.901,0.455,0.00855,3,0.083,-8.157,0,0.066,118.988,4,0.697,https://open.spotify.com/track/4VdM1CyQYlkywU6lL2fgw6,spotify:track:4VdM1CyQYlkywU6lL2fgw6
In My Mind (feat. Georgi Kay) - Axwell Remix,4S7J46CLuda7ayjLc2dL9v,single,In My Mind (feat. Georgi Kay),2012-05-22,,,399789,0,0.0393,0.668,0.896,0.00223,7,0.298,-5.188,0,0.0886,127.997,4,0.302,https://open.spotify.com/track/4S7J46CLuda7ayjLc2dL9v,spotify:track:4S7J46CLuda7ayjLc2dL9v
Wolfgang's 5th Symphony,3eOZPj3ZLFBekXQOBZRKTC,single,Wolfgang's 5th Symphony,2010-12-13,,,450937,0,0.0000468,0.836,0.412,0.862,8,0.0562,-5.156,1,0.062,127.996,4,0.117,https://open.spotify.com/track/3eOZPj3ZLFBekXQOBZRKTC,spotify:track:3eOZPj3ZLFBekXQOBZRKTC
Depths (Pt. I),5JMY7l5GE5ze1mdkyDptdh,album,Willowbank,2017-10-06,,,170027,59,0.162,0.671,0.467,0.00806,6,0.0992,-9.58,1,0.0311,116.029,4,0.644,https://open.spotify.com/track/5JMY7l5GE5ze1mdkyDptdh,spotify:track:5JMY7l5GE5ze1mdkyDptdh
Free Form,04qxabD9hKT45HsrOQqdVg,single,Wave002,2018-08-24,,,167766,51,0.909,0.723,0.283,0.0705,4,0.0899,-12.849,1,0.215,103.043,4,0.512,https://open.spotify.com/track/04qxabD9hKT45HsrOQqdVg,spotify:track:04qxabD9hKT45HsrOQqdVg
Feel It Still - Medasin Remix,4RVRgJXr8rPcHJqE7WLIcQ,album,Woodstock (Deluxe Edition),2017-06-16,,,194434,57,0.532,0.536,0.463,0.00107,4,0.0858,-10.623,1,0.27,157.736,4,0.148,https://open.spotify.com/track/4RVRgJXr8rPcHJqE7WLIcQ,spotify:track:4RVRgJXr8rPcHJqE7WLIcQ
Hooked On A Feeling,6Ac4NVYYl2U73QiTt11ZKd,single,Hooked On A Feeling,1973-04-01,,,172866,78,0.261,0.547,0.82,0,8,0.3,-6.728,1,0.0805,118.208,4,0.933,https://open.spotify.com/track/6Ac4NVYYl2U73QiTt11ZKd,spotify:track:6Ac4NVYYl2U73QiTt11ZKd
Feels Just Like it,1hEnVkgNq0t9WFO5Smzq5Y,album,Light Places,2023-05-12,,,241804,60,0.246,0.693,0.526,0.116,5,0.281,-11.323,0,0.0361,120.946,4,0.22,https://open.spotify.com/track/1hEnVkgNq0t9WFO5Smzq5Y,spotify:track:1hEnVkgNq0t9WFO5Smzq5Y
Another Life,48zKM71kAICEgswNxK8Kij,album,Light Places,2023-05-12,,,184000,46,0.118,0.674,0.579,0.0641,1,0.115,-10.182,0,0.0424,118.996,4,0.141,https://open.spotify.com/track/48zKM71kAICEgswNxK8Kij,spotify:track:48zKM71kAICEgswNxK8Kij
All I Need,0neoGRJaj0mr72NOHQhNZe,album,Light Places,2023-05-12,,,215000,46,0.0244,0.574,0.58,0.487,0,0.116,-11.619,0,0.0396,124.924,4,0.0771,https://open.spotify.com/track/0neoGRJaj0mr72NOHQhNZe,spotify:track:0neoGRJaj0mr72NOHQhNZe
Higher Love,6oJ6le65B3SEqPwMRNXWjY,single,Higher Love,2019-06-28,,,228267,79,0.0151,0.693,0.678,0.00000571,8,0.101,-7.159,1,0.0324,103.952,4,0.404,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,spotify:track:6oJ6le65B3SEqPwMRNXWjY
Real Enough To Feel Good,5lVPbg9XJzLHsjoYcrnEXf,single,Real Enough To Feel Good,2021-09-21,,,306178,27,0.226,0.767,0.685,0.661,7,0.149,-6.135,0,0.0388,131.982,4,0.371,https://open.spotify.com/track/5lVPbg9XJzLHsjoYcrnEXf,spotify:track:5lVPbg9XJzLHsjoYcrnEXf
Circle Back Around,222xHxHw2MXwNX2qRFO6cB,single,Circle Back Around,2023-02-20,,,195408,45,0.000737,0.679,0.668,0.507,1,0.0591,-7.913,1,0.0315,130.009,4,0.362,https://open.spotify.com/track/222xHxHw2MXwNX2qRFO6cB,spotify:track:222xHxHw2MXwNX2qRFO6cB
Wide Awake,5OLfObog5za3O71jQgZFsB,album,The Last Goodbye,2022-07-22,,,215039,68,0.163,0.616,0.886,0.0517,6,0.129,-5.436,0,0.0416,124.987,4,0.0694,https://open.spotify.com/track/5OLfObog5za3O71jQgZFsB,spotify:track:5OLfObog5za3O71jQgZFsB
Beijos,0sYH8L3KQEOJZDojvnT2mw,album,Happiness Complete,2021-07-30,,,336000,14,0.682,0.606,0.677,0.0107,2,0.367,-7.978,1,0.0275,94.999,4,0.571,https://open.spotify.com/track/0sYH8L3KQEOJZDojvnT2mw,spotify:track:0sYH8L3KQEOJZDojvnT2mw
One By One,7Kn39m8jbeNIB551gKut6L,single,One By One,2021-04-30,,,180000,37,0.015,0.618,0.799,0.619,11,0.109,-8.556,0,0.0409,120.06,4,0.303,https://open.spotify.com/track/7Kn39m8jbeNIB551gKut6L,spotify:track:7Kn39m8jbeNIB551gKut6L
Getting Late,79RAX0NTNBnzuLieO4zYcr,single,Getting Late,2019-10-25,,,254557,49,0.0228,0.759,0.626,0.0201,7,0.129,-10.616,0,0.0446,114.972,4,0.361,https://open.spotify.com/track/79RAX0NTNBnzuLieO4zYcr,spotify:track:79RAX0NTNBnzuLieO4zYcr
"Там, куди я йду",6IfFRnrEaMBIRdLnJRiJGy,single,"Там, куди я йду",2020-01-27,,,179000,32,0.0908,0.794,0.523,0.0000035,0,0.237,-8.222,0,0.231,119.959,4,0.65,https://open.spotify.com/track/6IfFRnrEaMBIRdLnJRiJGy,spotify:track:6IfFRnrEaMBIRdLnJRiJGy
Eyes Off You,5YQ4BJs60OgPVEwisLNiu3,single,Markantonata,2023-02-10,,,241967,59,0.68,0.661,0.673,0.743,1,0.125,-11.748,0,0.045,122.003,4,0.262,https://open.spotify.com/track/5YQ4BJs60OgPVEwisLNiu3,spotify:track:5YQ4BJs60OgPVEwisLNiu3
Deeper,6BUzs4g1OvThxUalMhL6b8,single,Deeper,2022-10-27,,,229970,39,0.181,0.598,0.807,0.797,6,0.202,-8.478,1,0.0538,128.05,4,0.158,https://open.spotify.com/track/6BUzs4g1OvThxUalMhL6b8,spotify:track:6BUzs4g1OvThxUalMhL6b8
Big Hen (Steal My Joy),6JyNpOts7liOCjEdqeu2h6,album,Actual Life (April 14 - December 17 2020),2021-04-15,,,263196,54,0.266,0.529,0.639,0.00794,4,0.395,-7.52,1,0.17,130.656,4,0.385,https://open.spotify.com/track/6JyNpOts7liOCjEdqeu2h6,spotify:track:6JyNpOts7liOCjEdqeu2h6
All I Need,3YXTc9txD7OwGdkVkaoj5F,album,Flux,2023-04-21,,,203040,33,0.0555,0.584,0.739,0.658,11,0.083,-6.784,0,0.0296,130.007,4,0.371,https://open.spotify.com/track/3YXTc9txD7OwGdkVkaoj5F,spotify:track:3YXTc9txD7OwGdkVkaoj5F
Classic (feat. POWERS),42TrdbXsmLybxUGJczYbrJ,album,55,2016-03-04,,,248506,55,0.00464,0.631,0.94,0.000805,2,0.324,-3.52,1,0.049,101.961,4,0.552,https://open.spotify.com/track/42TrdbXsmLybxUGJczYbrJ,spotify:track:42TrdbXsmLybxUGJczYbrJ
Closer,4dTVgHZFPlaq9nPbLVVLSG,album,Heartthrob,2013,,,209280,63,0.00174,0.588,0.751,0.0000657,0,0.353,-7.588,1,0.0328,136.979,4,0.52,https://open.spotify.com/track/4dTVgHZFPlaq9nPbLVVLSG,spotify:track:4dTVgHZFPlaq9nPbLVVLSG
Forever And A Day,5o1mS67lEoLCeFobGIaNb2,single,Forever And A Day,2022-08-16,,,166230,69,0.104,0.658,0.546,0.000211,7,0.158,-9.31,1,0.0318,125.06,4,0.289,https://open.spotify.com/track/5o1mS67lEoLCeFobGIaNb2,spotify:track:5o1mS67lEoLCeFobGIaNb2
