track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
on & on,2fmtrXfvbN8xkHwE0zgTTc,single,on & on,2022-07-28,,,135013,68,0.149,0.609,0.765,0.017,4,0.0815,-7.65,0,0.0633,173.993,4,0.819,https://open.spotify.com/track/2fmtrXfvbN8xkHwE0zgTTc,spotify:track:2fmtrXfvbN8xkHwE0zgTTc
Masala - Pablo Fierro Remix,2iCkWaXZ4XcwvLDcN2bwnO,single,Masala EP,2017-06-30,,,418468,50,0.00218,0.799,0.646,0.799,2,0.0613,-10.318,1,0.0591,125.032,4,0.131,https://open.spotify.com/track/2iCkWaXZ4XcwvLDcN2bwnO,spotify:track:2iCkWaXZ4XcwvLDcN2bwnO
Heavy - Icarus Extended Remix,2lFgEmYUYrQBIeyqVLcQgX,single,Heavy (Icarus Remix),2020-07-31,,,315277,39,0.00696,0.673,0.809,0.834,10,0.0715,-7.31,0,0.0494,123.013,4,0.451,https://open.spotify.com/track/2lFgEmYUYrQBIeyqVLcQgX,spotify:track:2lFgEmYUYrQBIeyqVLcQgX
Ecstasy (Over & Over),2nHBfIdQ4ndFNaWilLdBUN,single,Ecstasy (Over & Over),2020-05-15,,,216796,53,0.00426,0.757,0.82,0.421,10,0.173,-4.999,1,0.0406,128.012,4,0.656,https://open.spotify.com/track/2nHBfIdQ4ndFNaWilLdBUN,spotify:track:2nHBfIdQ4ndFNaWilLdBUN
Shake It - Shorter Edit,2nclL1imqXzJjD9kjH9YMD,single,Shake It (Shorter Edit),2019-10-11,,,185806,27,0.0038,0.69,0.951,0.753,5,0.465,-6.622,1,0.0498,124.011,4,0.279,https://open.spotify.com/track/2nclL1imqXzJjD9kjH9YMD,spotify:track:2nclL1imqXzJjD9kjH9YMD
Crazy Vibez,2nwXM9eHzj8eQBsuK9osbL,single,Crazy Vibez,2022-08-14,,,359014,56,0.0588,0.817,0.596,0.91,5,0.067,-11.92,0,0.131,116.011,4,0.328,https://open.spotify.com/track/2nwXM9eHzj8eQBsuK9osbL,spotify:track:2nwXM9eHzj8eQBsuK9osbL
Danielle (Smile on My Face),2sLVs5iX0osogh4jcsAJkv,single,Danielle (smile on my face),2022-09-14,,,201230,68,0.00159,0.678,0.931,0.0275,5,0.091,-5.813,1,0.0867,130.021,4,0.346,https://open.spotify.com/track/2sLVs5iX0osogh4jcsAJkv,spotify:track:2sLVs5iX0osogh4jcsAJkv
Diamonds and Pearls - Original Mix,2szhvPsfs4rZUlryE6XCFo,single,Feel the Balance,2017-07-14,,,399024,39,0.387,0.723,0.526,0.808,6,0.209,-9.569,0,0.2,123.009,4,0.174,https://open.spotify.com/track/2szhvPsfs4rZUlryE6XCFo,spotify:track:2szhvPsfs4rZUlryE6XCFo
Rhythm Paint,2tR43kWPE0gaYf7l3b30Ul,single,House Organ For The Lonely,2020-10-23,,,363358,5,0.0039,0.424,0.826,0.922,1,0.0433,-11.197,1,0.118,212.495,3,0.485,https://open.spotify.com/track/2tR43kWPE0gaYf7l3b30Ul,spotify:track:2tR43kWPE0gaYf7l3b30Ul
My Boy (Meduza Remix) - Edit,2tXlRosY0nvmJvbrcQN7PS,single,My Boy (Meduza Remix),2019-10-10,,,189677,47,0.0411,0.621,0.804,0.342,1,0.341,-8.199,0,0.0418,123.968,4,0.168,https://open.spotify.com/track/2tXlRosY0nvmJvbrcQN7PS,spotify:track:2tXlRosY0nvmJvbrcQN7PS
