track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir) - James Hype Remix,1iLU3hQxwqvCQW7v4wzLuF,single,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir) [James Hype Remix],2022-07-15,,,201714,52,0.00345,0.725,0.894,0.00311,1,0.317,-4.54,1,0.0405,126.018,4,0.231,https://open.spotify.com/track/1iLU3hQxwqvCQW7v4wzLuF,spotify:track:1iLU3hQxwqvCQW7v4wzLuF
Dancin' Kinda Close,1jgpqjOTmP8MCSVKrSnRA0,single,Dancin' Kinda Close,2018-04-20,,,156874,38,0.00547,0.757,0.762,0.0276,6,0.0431,-6.868,0,0.0733,123.02,4,0.896,https://open.spotify.com/track/1jgpqjOTmP8MCSVKrSnRA0,spotify:track:1jgpqjOTmP8MCSVKrSnRA0
Disappear,1kEdYirmW9IZ4R4QFaPvpE,single,Disappear,2022-06-10,,,235859,55,0.00249,0.631,0.808,0.417,9,0.0745,-9.282,0,0.0385,120.012,4,0.29,https://open.spotify.com/track/1kEdYirmW9IZ4R4QFaPvpE,spotify:track:1kEdYirmW9IZ4R4QFaPvpE
La Mama De La Mama De La Mama Tik Tok - Remix,1lE04bEDkNV9QSd2THlycs,single,La Mama De La Mama De La Mama Tik Tok,2022-06-08,,,387830,31,0.0209,0.792,0.995,0.591,11,0.546,-6.336,1,0.0608,125.001,4,0.514,https://open.spotify.com/track/1lE04bEDkNV9QSd2THlycs,spotify:track:1lE04bEDkNV9QSd2THlycs
6am,1lx452Y4CLMvIois88vwBr,single,6am,2022-11-09,,,221748,56,0.0176,0.873,0.685,0.00172,0,0.0483,-6.52,0,0.0609,124.025,4,0.918,https://open.spotify.com/track/1lx452Y4CLMvIois88vwBr,spotify:track:1lx452Y4CLMvIois88vwBr
Yefja,1nJwqD7S0yVMNWrjzyUBV8,single,Yefja,2021-03-05,,,427749,32,0.124,0.841,0.704,0.866,0,0.0855,-7.144,1,0.13,126.019,4,0.374,https://open.spotify.com/track/1nJwqD7S0yVMNWrjzyUBV8,spotify:track:1nJwqD7S0yVMNWrjzyUBV8
Never Looking Down,1o3vJMVij4WBO70EjHdl8X,compilation,Off Sonar 2019,2019-08-09,,,383774,8,0.00155,0.848,0.688,0.802,11,0.0946,-7.996,0,0.0668,127.02,4,0.36,https://open.spotify.com/track/1o3vJMVij4WBO70EjHdl8X,spotify:track:1o3vJMVij4WBO70EjHdl8X
Samba Sujo,1omvDGSBIsdZl8lCsKHTIy,single,Samba Sujo,2019-11-13,,,188939,46,0.00134,0.679,0.911,0.000766,4,0.0861,-6.855,0,0.0475,124.996,4,0.139,https://open.spotify.com/track/1omvDGSBIsdZl8lCsKHTIy,spotify:track:1omvDGSBIsdZl8lCsKHTIy
Mambo Jambo,1rSjmBi8rvl1mJg1eAOkan,single,Mambo Jambo,2022-07-01,,,371803,38,0.00171,0.787,0.778,0.852,1,0.669,-7.876,1,0.0612,121.986,4,0.438,https://open.spotify.com/track/1rSjmBi8rvl1mJg1eAOkan,spotify:track:1rSjmBi8rvl1mJg1eAOkan
Sign - Alex Metric Remix,1rhci8ltz1b8f3nIZWZrRZ,single,Polydans Remixes,2021-03-30,,,424681,29,0.00253,0.72,0.858,0.882,8,0.113,-6.055,0,0.0447,123.014,4,0.709,https://open.spotify.com/track/1rhci8ltz1b8f3nIZWZrRZ,spotify:track:1rhci8ltz1b8f3nIZWZrRZ
