track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Problems,1UERuR9hjz9GM609JIjtGx,single,Problems,2022-09-21,,,277239,47,0.0189,0.703,0.873,0.57,10,0.316,-9.467,0,0.0562,136,4,0.534,https://open.spotify.com/track/1UERuR9hjz9GM609JIjtGx,spotify:track:1UERuR9hjz9GM609JIjtGx
messy in heaven,5RobAV5ROH5KARimi7n3cO,single,messy in heaven,2022-09-23,,,170437,78,0.128,0.62,0.837,0.000242,8,0.242,-4.356,0,0.13,172.081,4,0.433,https://open.spotify.com/track/5RobAV5ROH5KARimi7n3cO,spotify:track:5RobAV5ROH5KARimi7n3cO
Chaos,1mJHoFRkClE2ppWHkDdoRW,album,Duality (Part One),2022-08-12,,,323480,0,0.00318,0.632,0.66,0.0268,1,0.0565,-10.148,1,0.0355,124.002,4,0.336,https://open.spotify.com/track/1mJHoFRkClE2ppWHkDdoRW,spotify:track:1mJHoFRkClE2ppWHkDdoRW
Bleu (better with time),42RIuav2MTQs3TEelnQDa3,single,Bleu (better with time),2022-09-23,,,196965,2,0.419,0.71,0.66,0.00352,8,0.136,-8.821,0,0.0432,121.94,4,0.313,https://open.spotify.com/track/42RIuav2MTQs3TEelnQDa3,spotify:track:42RIuav2MTQs3TEelnQDa3
Forever,0z7mJ4dACjuoBqH7RC3mbm,single,Forever,2022-06-24,,,268159,28,0.209,0.724,0.729,0.0118,8,0.107,-6.45,1,0.0405,123.964,4,0.122,https://open.spotify.com/track/0z7mJ4dACjuoBqH7RC3mbm,spotify:track:0z7mJ4dACjuoBqH7RC3mbm
Lush,4KjNEsQ4jkqXwCmsn71a9p,album,New Energy,2017-09-29,,,311893,55,0.83,0.659,0.667,0.896,1,0.118,-10.463,0,0.0326,132.907,4,0.637,https://open.spotify.com/track/4KjNEsQ4jkqXwCmsn71a9p,spotify:track:4KjNEsQ4jkqXwCmsn71a9p
Is It True - Four Tet Remix,5Yc2SVCeXXcDdALmmXIslb,single,Is It True (Four Tet Remix),2020-08-21,,,325805,46,0.469,0.697,0.598,0.118,4,0.0659,-7.722,0,0.0295,117.992,4,0.112,https://open.spotify.com/track/5Yc2SVCeXXcDdALmmXIslb,spotify:track:5Yc2SVCeXXcDdALmmXIslb
Baby Girl,2cSdAkzAf2T4j4aLvx4LLz,single,Baby Girl,2022-06-15,,,111074,80,0.0921,0.73,0.907,0.114,2,0.23,-3.72,1,0.0606,120.968,4,0.249,https://open.spotify.com/track/2cSdAkzAf2T4j4aLvx4LLz,spotify:track:2cSdAkzAf2T4j4aLvx4LLz
"1,000,000 X Better (feat. HONNE) - Romare Remix",4WOnnkXiZzDrbzDXnAnOx7,single,"1,000,000 X Better (feat. HONNE) [Romare Remix]",2020-11-08,,,228121,27,0.152,0.695,0.72,0.899,0,0.105,-11.587,1,0.0439,120.011,4,0.179,https://open.spotify.com/track/4WOnnkXiZzDrbzDXnAnOx7,spotify:track:4WOnnkXiZzDrbzDXnAnOx7
WANT NEED LOVE,3FIb81xI76x7pGPbFbzZXu,single,WANT NEED LOVE,2021-04-30,,,241889,51,0.000823,0.429,0.683,0.00342,8,0.0801,-7.297,1,0.038,126.873,4,0.0536,https://open.spotify.com/track/3FIb81xI76x7pGPbFbzZXu,spotify:track:3FIb81xI76x7pGPbFbzZXu
Hollow (feat. Emma Louise) [Logic1000 Remix],2aqqwPJTNgOeQgKyO5VweQ,single,"Palaces : The Remixes, Pt. 1",2022-07-08,,,251499,25,0.0113,0.473,0.652,0.606,5,0.095,-7.515,0,0.0514,116.938,4,0.416,https://open.spotify.com/track/2aqqwPJTNgOeQgKyO5VweQ,spotify:track:2aqqwPJTNgOeQgKyO5VweQ
acceptance,0hXKwRpwWlhq1wKvntu6j0,single,acceptance,2022-01-28,,,311978,10,0.0555,0.711,0.733,0.872,5,0.064,-7.891,0,0.0393,128.024,4,0.0639,https://open.spotify.com/track/0hXKwRpwWlhq1wKvntu6j0,spotify:track:0hXKwRpwWlhq1wKvntu6j0
Every High - Young & Sick in-Flight Remix,4riVJ8dOg2QpIp3rdFh8kq,single,Every High (The Remixes),2018-11-14,,,258000,52,0.0202,0.766,0.572,0.0146,10,0.0554,-10.182,0,0.0433,119.952,4,0.231,https://open.spotify.com/track/4riVJ8dOg2QpIp3rdFh8kq,spotify:track:4riVJ8dOg2QpIp3rdFh8kq
Bhāvachakra,1nz0SvhvjKHHX8NoSUeG3P,single,Postcards,2022-07-29,,,211810,0,0.00255,0.668,0.68,0.0438,3,0.123,-6.775,0,0.0335,129.032,4,0.385,https://open.spotify.com/track/1nz0SvhvjKHHX8NoSUeG3P,spotify:track:1nz0SvhvjKHHX8NoSUeG3P
"I'm OK, I'm Fine.",1QHmHk2NoYiJAmJJBwUHBN,single,"I'm OK, I'm Fine.",2020-05-01,,,230163,31,0.0155,0.794,0.694,0.151,8,0.0661,-10.817,0,0.0547,122.001,4,0.681,https://open.spotify.com/track/1QHmHk2NoYiJAmJJBwUHBN,spotify:track:1QHmHk2NoYiJAmJJBwUHBN
Wake Up - Nuage Remix,2ksI5VBtOvZegQBQRQgzLW,single,Wake Up (Nuage Remix),2021-07-02,,,216224,0,0.00382,0.655,0.724,0.881,10,0.0784,-9.628,0,0.0563,119.029,4,0.458,https://open.spotify.com/track/2ksI5VBtOvZegQBQRQgzLW,spotify:track:2ksI5VBtOvZegQBQRQgzLW
Just Say - DJ Sliink Remix,0E0tSPI5JZz8Aq1y1DbFEQ,single,Just Say (DJ Sliink Remix),2023-01-20,,,132155,48,0.157,0.699,0.804,0.00000944,5,0.125,-7.473,0,0.147,139.965,4,0.357,https://open.spotify.com/track/0E0tSPI5JZz8Aq1y1DbFEQ,spotify:track:0E0tSPI5JZz8Aq1y1DbFEQ
All In One Night,4GUxUmge58qGkX81nD2RRe,album,Love Is Love,2023-02-17,,,187619,35,0.000837,0.613,0.97,0.0508,6,0.327,-4.763,1,0.0787,126.049,4,0.55,https://open.spotify.com/track/4GUxUmge58qGkX81nD2RRe,spotify:track:4GUxUmge58qGkX81nD2RRe
4EVA (feat. Pharrell Williams),3CblJq8QQQ0bb7vwJu8c3v,single,4EVA (feat. Pharrell Williams),2023-04-07,,,190373,73,0.0248,0.83,0.695,0.0755,6,0.0573,-9.445,0,0.0716,112.046,4,0.536,https://open.spotify.com/track/3CblJq8QQQ0bb7vwJu8c3v,spotify:track:3CblJq8QQQ0bb7vwJu8c3v
Eternal Love,1DXexjeBWmCOHaWNd08ZRN,album,Passions,2011-04-29,,,224866,33,0.253,0.611,0.416,0.882,1,0.0617,-13.685,1,0.0313,79.037,4,0.463,https://open.spotify.com/track/1DXexjeBWmCOHaWNd08ZRN,spotify:track:1DXexjeBWmCOHaWNd08ZRN
Late At Night - Do It Right,7DUzcVboODylsx90EhH0yg,single,Late At Night,2022-02-11,,,382570,2,0.0226,0.755,0.88,0.877,10,0.288,-8.3,0,0.0641,132.983,4,0.494,https://open.spotify.com/track/7DUzcVboODylsx90EhH0yg,spotify:track:7DUzcVboODylsx90EhH0yg
Lemonade,61k10EvC3wVaxlNpNiFGuy,album,Gravy Baby,2022-06-03,,,159166,2,0.161,0.748,0.529,0.000597,1,0.0696,-7.371,1,0.081,80.277,4,0.948,https://open.spotify.com/track/61k10EvC3wVaxlNpNiFGuy,spotify:track:61k10EvC3wVaxlNpNiFGuy
Everything to You,1BhqWZBjL1gxUkO1JnWyWC,album,Gracefully,2013-06-25,,,224280,6,0.545,0.613,0.662,0,9,0.229,-6.492,1,0.054,167.927,4,0.828,https://open.spotify.com/track/1BhqWZBjL1gxUkO1JnWyWC,spotify:track:1BhqWZBjL1gxUkO1JnWyWC
Praise the Lord and Pass the Ammunition!,3xixItlm5NPn0v3960c8g0,album,Bandleader,2021-06-04,,,156066,14,0.682,0.507,0.367,0.0000304,7,0.157,-11.523,1,0.0283,64.909,4,0.742,https://open.spotify.com/track/3xixItlm5NPn0v3960c8g0,spotify:track:3xixItlm5NPn0v3960c8g0
Boy's a Liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,single,Boy's a liar Pt. 2,2023-02-03,,,131013,94,0.252,0.696,0.809,0.000128,5,0.248,-8.254,1,0.05,132.962,4,0.857,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv
"Munda Sona Hoon Main (From ""Shehzada"")",0NODNDsiY0sK5P0TnmDMSE,single,"Munda Sona Hoon Main (From ""Shehzada"")",2023-01-16,,,229947,71,0.271,0.775,0.83,0,9,0.191,-4.905,0,0.0571,130.024,4,0.913,https://open.spotify.com/track/0NODNDsiY0sK5P0TnmDMSE,spotify:track:0NODNDsiY0sK5P0TnmDMSE
Both Sides Now,2xSfwtV4mUr2h63Q1zJH58,album,Wildflowers,1967,,,195840,56,0.413,0.352,0.3,0,8,0.1,-9.282,1,0.0301,58.686,4,0.295,https://open.spotify.com/track/2xSfwtV4mUr2h63Q1zJH58,spotify:track:2xSfwtV4mUr2h63Q1zJH58
GUEST HOUSE,1OxAxUzEeezaqQBhGsw5oK,single,GUEST HOUSE,2022-04-08,,,139341,1,0.0796,0.964,0.438,0,5,0.158,-6.764,0,0.116,117.902,4,0.833,https://open.spotify.com/track/1OxAxUzEeezaqQBhGsw5oK,spotify:track:1OxAxUzEeezaqQBhGsw5oK
Pump Up The Jam,21qnJAMtzC6S5SESuqQLEK,album,Pump Up The Jam,1989-11-28,,,320306,73,0.0147,0.885,0.844,0.00000449,10,0.0494,-9.225,0,0.0733,124.602,4,0.715,https://open.spotify.com/track/21qnJAMtzC6S5SESuqQLEK,spotify:track:21qnJAMtzC6S5SESuqQLEK
Disco Loop Tool (I Do),6TMNGEBHP4txFegPiXVl7b,single,Hard To Love,2022-05-20,,,293281,2,0.00713,0.853,0.571,0.226,0,0.0511,-6.719,1,0.0997,127.01,4,0.423,https://open.spotify.com/track/6TMNGEBHP4txFegPiXVl7b,spotify:track:6TMNGEBHP4txFegPiXVl7b
