track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Raw - Original Mix,6qEjvGlo4BjFdd3eM9RHOR,single,Otra Vez EP,2019-07-26,,,368647,4,0.085,0.803,0.96,0.917,1,0.0879,-8.276,1,0.0508,125.024,4,0.891,https://open.spotify.com/track/6qEjvGlo4BjFdd3eM9RHOR,spotify:track:6qEjvGlo4BjFdd3eM9RHOR
Take Me Back,6rMDUHBXp1yYr3qftxfXG5,single,Take Me Back,2022-06-14,,,197502,29,0.0155,0.689,0.833,0.637,11,0.196,-5.967,1,0.046,129.988,4,0.767,https://open.spotify.com/track/6rMDUHBXp1yYr3qftxfXG5,spotify:track:6rMDUHBXp1yYr3qftxfXG5
This Is House,6rQvzFs8pR9ZjmY5OTF4kO,single,This Is House,2018-02-23,,,183910,36,0.014,0.848,0.871,0.065,2,0.377,-4.005,0,0.159,125.03,4,0.299,https://open.spotify.com/track/6rQvzFs8pR9ZjmY5OTF4kO,spotify:track:6rQvzFs8pR9ZjmY5OTF4kO
Body 2 Body - Chris Lake Remix,6s839H1602JPXDWdk1Li2S,single,Body 2 Body (Chris Lake Remix),2019-06-28,,,244831,17,0.00302,0.767,0.857,0.0712,2,0.0704,-5.799,1,0.0723,123.977,4,0.623,https://open.spotify.com/track/6s839H1602JPXDWdk1Li2S,spotify:track:6s839H1602JPXDWdk1Li2S
F.A.M.A,6uotDpu69mgLuHDkrCn8Jk,compilation,Ibiza 2018,2018-09-28,,,290000,18,0.0204,0.925,0.715,0.144,1,0.0652,-4.567,1,0.107,119.984,4,0.795,https://open.spotify.com/track/6uotDpu69mgLuHDkrCn8Jk,spotify:track:6uotDpu69mgLuHDkrCn8Jk
Bon Bini,6ytVMBHu1ZXvaBvufHCBOX,single,Bon Bini EP,2020-09-11,,,361023,38,0.00256,0.775,0.877,0.25,9,0.0738,-9.12,1,0.103,127.028,4,0.401,https://open.spotify.com/track/6ytVMBHu1ZXvaBvufHCBOX,spotify:track:6ytVMBHu1ZXvaBvufHCBOX
Red Dressed - Ben Böhmer Remix,6zDoJPNO6ma2VPaRhNQOKe,album,Orchestra (Remixes),2021-10-29,,,358587,52,0.000573,0.588,0.492,0.726,9,0.256,-9.111,0,0.0931,123.991,4,0.328,https://open.spotify.com/track/6zDoJPNO6ma2VPaRhNQOKe,spotify:track:6zDoJPNO6ma2VPaRhNQOKe
Alone,71QzpNzL1Q6KPOV5ilyBVW,compilation,Unity,2020-04-03,,,333569,44,0.0341,0.802,0.556,0.914,8,0.079,-12.989,1,0.0437,126.001,4,0.0371,https://open.spotify.com/track/71QzpNzL1Q6KPOV5ilyBVW,spotify:track:71QzpNzL1Q6KPOV5ilyBVW
Gather - Edit,71rbXzLu3OUC0jlwTZuqPO,single,Gather,2021-06-04,,,271703,33,0.0032,0.772,0.526,0.841,5,0.113,-8.138,0,0.0503,121.993,4,0.0388,https://open.spotify.com/track/71rbXzLu3OUC0jlwTZuqPO,spotify:track:71rbXzLu3OUC0jlwTZuqPO
This Is House,74C6fDAMcc5uKsRU7wcsQe,single,This Is House,2019-03-22,,,241878,31,0.0431,0.894,0.774,0.165,2,0.338,-3.32,1,0.194,123.02,4,0.357,https://open.spotify.com/track/74C6fDAMcc5uKsRU7wcsQe,spotify:track:74C6fDAMcc5uKsRU7wcsQe
Earth (feat. OVEOUS),75fts2gVAOZP8tOPZDoc6I,single,Reconnection,2021-04-30,,,322530,6,0.138,0.847,0.63,0.753,7,0.0958,-12.334,1,0.0559,124.028,4,0.274,https://open.spotify.com/track/75fts2gVAOZP8tOPZDoc6I,spotify:track:75fts2gVAOZP8tOPZDoc6I
Stomp (Move Jump Jack Your Body),7E2cLbyZ1TmSFpjr8F5aOw,single,Stomp (Move Jump Jack Your Body),2021-10-08,,,105468,9,0.0162,0.692,0.864,0.0635,2,0.374,-10.254,1,0.0603,128.01,4,0.966,https://open.spotify.com/track/7E2cLbyZ1TmSFpjr8F5aOw,spotify:track:7E2cLbyZ1TmSFpjr8F5aOw
Don't Give Up,7E5Tl1oyZW5JPdhqGgW5hz,single,Don't Give Up,2020-06-26,,,196451,55,0.0806,0.462,0.741,0.326,8,0.123,-8.327,1,0.0375,124.018,4,0.0392,https://open.spotify.com/track/7E5Tl1oyZW5JPdhqGgW5hz,spotify:track:7E5Tl1oyZW5JPdhqGgW5hz
Trees,7G7LODyELWUhyA9GoFwcWa,single,Trees,2021-06-18,,,455500,22,0.000226,0.651,0.906,0.828,2,0.262,-6.732,0,0.0416,127.999,4,0.478,https://open.spotify.com/track/7G7LODyELWUhyA9GoFwcWa,spotify:track:7G7LODyELWUhyA9GoFwcWa
My Purple iPod Nano (2nd Gen),7KzTDWGFQerYzkSqRXLwUp,single,My Purple iPod Nano (2nd Gen),2022-04-08,,,164661,49,0.381,0.778,0.796,0.913,10,0.399,-10.9,1,0.0722,132.963,4,0.464,https://open.spotify.com/track/7KzTDWGFQerYzkSqRXLwUp,spotify:track:7KzTDWGFQerYzkSqRXLwUp
Yeke Yeke,7LjswiwJTEq6wXKqf8Yb05,single,Yeke Yeke,2021-05-10,,,363934,44,0.00533,0.731,0.777,0.669,0,0.0341,-7.056,1,0.0511,121.993,4,0.621,https://open.spotify.com/track/7LjswiwJTEq6wXKqf8Yb05,spotify:track:7LjswiwJTEq6wXKqf8Yb05
Lose Your Head - CamelPhat Remix,7aggzqfbAW7LnkJUy9UAdJ,single,Lose Your Head (CamelPhat Remix),2021-01-22,,,216200,49,0.0141,0.554,0.872,0.027,6,0.585,-7.155,0,0.0392,122.999,4,0.0712,https://open.spotify.com/track/7aggzqfbAW7LnkJUy9UAdJ,spotify:track:7aggzqfbAW7LnkJUy9UAdJ
One Kiss (with Dua Lipa) - Oliver Heldens Remix,7b4vbqgzMhbFa0wdjfftQJ,single,One Kiss (with Dua Lipa) [Remixes],2018-07-13,,,281266,59,0.251,0.717,0.752,0.000468,0,0.0802,-6.933,1,0.065,123.97,4,0.14,https://open.spotify.com/track/7b4vbqgzMhbFa0wdjfftQJ,spotify:track:7b4vbqgzMhbFa0wdjfftQJ
Talamanca,7dDLAQ1y0qOq3E4DhNh8FS,single,Talamanca,2021-06-25,,,186727,65,0.0988,0.683,0.77,0.896,11,0.379,-6.641,0,0.0512,126.006,4,0.527,https://open.spotify.com/track/7dDLAQ1y0qOq3E4DhNh8FS,spotify:track:7dDLAQ1y0qOq3E4DhNh8FS
Voy,7eVAueNTldeMplUKSlOKs9,single,Voy,2022-08-05,,,185773,55,0.0116,0.762,0.888,0.47,6,0.213,-4.538,0,0.122,126.014,4,0.322,https://open.spotify.com/track/7eVAueNTldeMplUKSlOKs9,spotify:track:7eVAueNTldeMplUKSlOKs9
Steamroller,7f6Uk2JePkvU9J4LZPuDvr,single,Postcards,2022-07-29,,,175213,41,0.0135,0.649,0.967,0.791,7,0.74,-6.394,1,0.0603,132.11,4,0.848,https://open.spotify.com/track/7f6Uk2JePkvU9J4LZPuDvr,spotify:track:7f6Uk2JePkvU9J4LZPuDvr
Travelers,7g0E8PZTeRA6NghamzQHfc,single,"Globe Trotter, Vol.1",2020-11-13,,,264406,38,0.736,0.793,0.674,0.474,5,0.122,-10.634,0,0.0451,118.023,4,0.346,https://open.spotify.com/track/7g0E8PZTeRA6NghamzQHfc,spotify:track:7g0E8PZTeRA6NghamzQHfc
Ghost Voices,7ipGvvE90ROUNFw7ZBXBTO,single,Virtual Self,2017-11-29,,,266365,54,0.00137,0.311,0.857,0.805,11,0.307,-8.332,0,0.0396,119.96,4,0.358,https://open.spotify.com/track/7ipGvvE90ROUNFw7ZBXBTO,spotify:track:7ipGvvE90ROUNFw7ZBXBTO
Bby,7kAJWULoQUsWiiTJp2951Y,single,Diamond Cut / Bby,2021-11-19,,,343341,49,0.0327,0.561,0.601,0.867,2,0.0697,-8.792,1,0.0432,130.009,4,0.0944,https://open.spotify.com/track/7kAJWULoQUsWiiTJp2951Y,spotify:track:7kAJWULoQUsWiiTJp2951Y
Biome,7ksqmIxk48TqqBdHXUdwvJ,single,Biome,2019-08-02,,,229813,54,0.297,0.583,0.858,0.924,8,0.122,-8.079,1,0.0321,112,4,0.0401,https://open.spotify.com/track/7ksqmIxk48TqqBdHXUdwvJ,spotify:track:7ksqmIxk48TqqBdHXUdwvJ
Raw - Tony Romera Remix,7lxbCUxQXJRkPQ1eErYZd3,single,Raw (Tony Romera Remix),2022-08-05,,,217500,60,0.392,0.865,0.967,0.877,0,0.353,-5.03,1,0.087,128.005,4,0.163,https://open.spotify.com/track/7lxbCUxQXJRkPQ1eErYZd3,spotify:track:7lxbCUxQXJRkPQ1eErYZd3
Nene Man Ni,7m4bWgzzK8DYLZBjHAIGVv,single,Nene Man Ni,2020-01-26,,,418048,50,0.000423,0.762,0.817,0.0882,9,0.0735,-8.379,0,0.0496,123.005,4,0.269,https://open.spotify.com/track/7m4bWgzzK8DYLZBjHAIGVv,spotify:track:7m4bWgzzK8DYLZBjHAIGVv
Better Not (with Wafia),7n1940b6kHcaEewFSZXnXa,single,Kids At Play- EP,2018-10-26,,,222865,67,0.278,0.783,0.537,0,9,0.229,-2.921,1,0.0795,113.988,4,0.393,https://open.spotify.com/track/7n1940b6kHcaEewFSZXnXa,spotify:track:7n1940b6kHcaEewFSZXnXa
Little Darling,7nA4uczx7vIhEDoBCUBnT0,single,Little Darling,2021-05-14,,,220524,50,0.0331,0.694,0.874,0.866,1,0.108,-8.164,0,0.035,124.004,4,0.0742,https://open.spotify.com/track/7nA4uczx7vIhEDoBCUBnT0,spotify:track:7nA4uczx7vIhEDoBCUBnT0
Magic Carpet,7nEJrG2KIiH6PoDL1Ae5at,single,Magic Carpet,2021-02-12,,,168170,53,0.00634,0.794,0.684,0.298,1,0.0881,-7.594,1,0.0668,123.024,4,0.542,https://open.spotify.com/track/7nEJrG2KIiH6PoDL1Ae5at,spotify:track:7nEJrG2KIiH6PoDL1Ae5at
Music Is The Answer,7poDCUphuuR4mpZ2iqbxcm,single,Music Is The Answer,2019-04-05,,,251612,43,0.000741,0.778,0.982,0.615,1,0.602,-6.547,0,0.0779,124.032,4,0.713,https://open.spotify.com/track/7poDCUphuuR4mpZ2iqbxcm,spotify:track:7poDCUphuuR4mpZ2iqbxcm
Broken Clouds,7q0OGG60Em2wwPNDpBFPGy,album,Clouds,2015-04-16,,,324255,35,0.973,0.481,0.196,0.927,3,0.0737,-18.581,0,0.0289,171.383,3,0.198,https://open.spotify.com/track/7q0OGG60Em2wwPNDpBFPGy,spotify:track:7q0OGG60Em2wwPNDpBFPGy
Both Of Us,7q584VOAZLMPaIQ9pedKFl,single,Both Of Us,2020-05-26,,,353568,57,0.00217,0.756,0.668,0.837,11,0.0796,-10.756,1,0.0704,123.97,4,0.504,https://open.spotify.com/track/7q584VOAZLMPaIQ9pedKFl,spotify:track:7q584VOAZLMPaIQ9pedKFl
Premier Gaou - Paso Doble Remix,7tFKkoezj3PaJj4SQekri5,single,Premier Gaou (Paso Doble Remix),2021-11-05,,,214426,40,0.0573,0.753,0.824,0.0625,0,0.104,-7.777,1,0.0437,122.005,4,0.864,https://open.spotify.com/track/7tFKkoezj3PaJj4SQekri5,spotify:track:7tFKkoezj3PaJj4SQekri5
Player,7tj8BiT5B8vPjOExexs6Zf,single,Player,2021-05-28,,,380655,29,0.000111,0.789,0.684,0.862,11,0.0912,-10.096,1,0.0525,121.995,4,0.028,https://open.spotify.com/track/7tj8BiT5B8vPjOExexs6Zf,spotify:track:7tj8BiT5B8vPjOExexs6Zf
Happy Music,7uGpUhy4uf2UrHH7TyhM6C,single,Happy Music / Something on My Mind,2022-04-08,,,232625,67,0.0421,0.777,0.737,0.379,11,0.0265,-5.86,0,0.0351,123.993,4,0.891,https://open.spotify.com/track/7uGpUhy4uf2UrHH7TyhM6C,spotify:track:7uGpUhy4uf2UrHH7TyhM6C
Safe,7v2iUsHqHR1VNLODNUkTOz,single,Safe,2020-05-29,,,501649,51,0.000169,0.648,0.725,0.834,1,0.107,-8.806,1,0.0325,123.999,4,0.605,https://open.spotify.com/track/7v2iUsHqHR1VNLODNUkTOz,spotify:track:7v2iUsHqHR1VNLODNUkTOz
In My Head (Part I),7vaL7BD7kwQUZV6ES9psjC,compilation,Trance 100 - 2021,2021-02-05,,,217846,7,0.00882,0.534,0.923,0.823,5,0.134,-6.599,0,0.0392,130.027,4,0.0672,https://open.spotify.com/track/7vaL7BD7kwQUZV6ES9psjC,spotify:track:7vaL7BD7kwQUZV6ES9psjC
What a Bam,7wCrQDEDZDH7TrB9OPEbmv,single,What a Bam,2018-01-19,,,411393,45,0.00988,0.809,0.95,0.825,0,0.266,-6.695,1,0.0556,122.004,4,0.843,https://open.spotify.com/track/7wCrQDEDZDH7TrB9OPEbmv,spotify:track:7wCrQDEDZDH7TrB9OPEbmv
The Church,7xzzBMB5gDlGFKMTUQvI5u,single,The Church,2021-06-04,,,440638,44,0.0219,0.607,0.935,0.906,5,0.112,-7.669,0,0.0308,123.006,4,0.0387,https://open.spotify.com/track/7xzzBMB5gDlGFKMTUQvI5u,spotify:track:7xzzBMB5gDlGFKMTUQvI5u
Motion,7yFCaL52i6nD9Z8iQpVjo9,single,Fields,2020-09-25,,,386673,2,0.24,0.726,0.622,0.921,6,0.107,-10.661,0,0.0423,121.993,4,0.195,https://open.spotify.com/track/7yFCaL52i6nD9Z8iQpVjo9,spotify:track:7yFCaL52i6nD9Z8iQpVjo9
Back To The Roots - Extended Mix,519sls3IxgMp8zUdMH2FaB,single,Back To The Roots,2022-05-13,,,583278,35,0.000424,0.733,0.433,0.845,9,0.0802,-9.517,1,0.0548,122.009,4,0.456,https://open.spotify.com/track/519sls3IxgMp8zUdMH2FaB,spotify:track:519sls3IxgMp8zUdMH2FaB
Come Together - Extended Mix,10TCB5AtmzLirlAHM0PzVi,single,Come Together / Naturish,2020-05-15,,,486455,47,0.00319,0.432,0.731,0.213,2,0.379,-11.576,1,0.0537,119.981,4,0.0627,https://open.spotify.com/track/10TCB5AtmzLirlAHM0PzVi,spotify:track:10TCB5AtmzLirlAHM0PzVi
Sweet Disposition - Bootleg,1WmXwlO2Q07qaA4PIqLULi,single,Sweet Disposition (Bootleg),2017-06-16,,,294005,53,0.00127,0.609,0.804,0.0025,9,0.0822,-6.098,0,0.0364,123.983,4,0.628,https://open.spotify.com/track/1WmXwlO2Q07qaA4PIqLULi,spotify:track:1WmXwlO2Q07qaA4PIqLULi
Camellia,2bXwSCNxQeYeyi4j19khuH,single,Camellia,2021-04-16,,,474098,7,0.00138,0.7,0.778,0.882,7,0.0726,-8.18,1,0.0471,122.016,4,0.211,https://open.spotify.com/track/2bXwSCNxQeYeyi4j19khuH,spotify:track:2bXwSCNxQeYeyi4j19khuH
