track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
i miss you,2smdXs28v3oWxd85r4Owv0,single,Tranquil,2019-06-14,,,207000,0,0.68,0.629,0.0686,0.728,10,0.179,-15.255,1,0.0507,80.014,4,0.124,https://open.spotify.com/track/2smdXs28v3oWxd85r4Owv0,spotify:track:2smdXs28v3oWxd85r4Owv0
Innerbloom,5rpx047aanR0h9Rfp1wgBB,album,Bloom,2016-01-22,,,578040,0,0.125,0.729,0.72,0.353,3,0.178,-6.69,1,0.0371,122.015,4,0.0388,https://open.spotify.com/track/5rpx047aanR0h9Rfp1wgBB,spotify:track:5rpx047aanR0h9Rfp1wgBB
Door,5YIVVzQcJG7pFhyNo0Ytlh,album,Pang,2019-10-18,,,322562,54,0.222,0.684,0.438,0,3,0.262,-8.309,1,0.0388,123.997,4,0.253,https://open.spotify.com/track/5YIVVzQcJG7pFhyNo0Ytlh,spotify:track:5YIVVzQcJG7pFhyNo0Ytlh
Resonance,1TuopWDIuDi1553081zvuU,album,Odyssey,2014-07-01,,,212881,2,0.0356,0.567,0.743,0.847,8,0.221,-8.614,1,0.0626,170.083,5,0.423,https://open.spotify.com/track/1TuopWDIuDi1553081zvuU,spotify:track:1TuopWDIuDi1553081zvuU
Paspatou,4NpPKFIQXU3ZrlcG7T6PTT,album,Paspatou,2018-11-22,,,269400,0,0.715,0.626,0.482,0.826,0,0.113,-7.504,0,0.0261,147.986,4,0.182,https://open.spotify.com/track/4NpPKFIQXU3ZrlcG7T6PTT,spotify:track:4NpPKFIQXU3ZrlcG7T6PTT
La femme d'argent,6tEaLXZlN8b71vWV1SSsRf,album,Moon Safari,1998-01-14,,,426614,52,0.434,0.517,0.737,0.684,6,0.392,-8.189,0,0.0352,79.82,4,0.558,https://open.spotify.com/track/6tEaLXZlN8b71vWV1SSsRf,spotify:track:6tEaLXZlN8b71vWV1SSsRf
Веснянка,4tBsCNIqcX0KgHSdn0aeal,album,#Ідиназвук,2021-01-13,,,253407,45,0.063,0.456,0.91,0.0237,7,0.129,-3.345,0,0.139,175.011,4,0.139,https://open.spotify.com/track/4tBsCNIqcX0KgHSdn0aeal,spotify:track:4tBsCNIqcX0KgHSdn0aeal
Рано-раненько,5W5JeZwZxK3kN9U19nkqam,single,Рано-раненько,2021-01-13,,,249374,46,0.0256,0.581,0.722,0.0159,7,0.294,-5.378,0,0.0392,128.073,4,0.204,https://open.spotify.com/track/5W5JeZwZxK3kN9U19nkqam,spotify:track:5W5JeZwZxK3kN9U19nkqam
Жальменiна,4WDasHtnmPeZr17S2OvFKH,album,#Ідиназвук,2021-01-13,,,223986,51,0.000722,0.635,0.991,0.0252,9,0.127,-1.71,1,0.0554,120.029,4,0.831,https://open.spotify.com/track/4WDasHtnmPeZr17S2OvFKH,spotify:track:4WDasHtnmPeZr17S2OvFKH
Шум,4P6g27LvaQ4GIF8sxn2grB,single,Шум,2021-01-22,,,238512,53,0.0143,0.471,0.661,0.00011,4,0.0855,-5.16,1,0.0518,114.981,4,0.405,https://open.spotify.com/track/4P6g27LvaQ4GIF8sxn2grB,spotify:track:4P6g27LvaQ4GIF8sxn2grB
Kalyna,4l2cybnuXksxxKzCCSDPfV,single,Kalyna,2022-03-18,,,186346,53,0.00237,0.609,0.776,0.000123,2,0.32,-4.863,1,0.0303,125.002,4,0.194,https://open.spotify.com/track/4l2cybnuXksxxKzCCSDPfV,spotify:track:4l2cybnuXksxxKzCCSDPfV
SHUM,29bhnde7Gvnp7rvY9zsq5S,single,SHUM,2021-08-04,,,172675,69,0.05,0.527,0.736,0.0000789,4,0.105,-5.341,1,0.0638,117.657,4,0.503,https://open.spotify.com/track/29bhnde7Gvnp7rvY9zsq5S,spotify:track:29bhnde7Gvnp7rvY9zsq5S
Solovey,2GfDHCfAaKLBLrLESzgnwE,single,Solovey,2020-03-07,,,176959,54,0.281,0.783,0.867,0,6,0.126,-2.633,0,0.0374,102.016,4,0.583,https://open.spotify.com/track/2GfDHCfAaKLBLrLESzgnwE,spotify:track:2GfDHCfAaKLBLrLESzgnwE
Get Me High,6EL95M2kQPDj6YfqOZxGgF,single,Get Me High,2019-03-22,,,315723,33,0.00404,0.676,0.799,0.318,6,0.0387,-7.561,1,0.0469,130.001,4,0.634,https://open.spotify.com/track/6EL95M2kQPDj6YfqOZxGgF,spotify:track:6EL95M2kQPDj6YfqOZxGgF
Time Heals,07Df4OIERpl91cqpt8qvB5,single,Time Heals,2019-09-27,,,288000,0,0.69,0.772,0.35,0.000271,5,0.128,-11.547,1,0.266,120.004,4,0.134,https://open.spotify.com/track/07Df4OIERpl91cqpt8qvB5,spotify:track:07Df4OIERpl91cqpt8qvB5
GOD AS OUR WITNESS,78Y7lOBRdtGqEUUyOq7Dzj,single,GOD AS OUR WITNESS,2023-02-25,,,122553,0,0.835,0.717,0.572,0,6,0.0976,-10.469,0,0.252,94.117,4,0.627,https://open.spotify.com/track/78Y7lOBRdtGqEUUyOq7Dzj,spotify:track:78Y7lOBRdtGqEUUyOq7Dzj
Weekend - East & Young Remix,2xg8KF2BrxW70v13Twxw6J,single,Weekend (Remixes),2016-09-02,,,251564,23,0.01,0.834,0.674,0.000034,0,0.0555,-4.476,1,0.0659,126.034,4,0.316,https://open.spotify.com/track/2xg8KF2BrxW70v13Twxw6J,spotify:track:2xg8KF2BrxW70v13Twxw6J
Shelter,3ISYGHoYnu4gos6JNMfL4z,single,Shelter,2016-08-12,,,218964,0,0.00293,0.276,0.796,0,0,0.184,-4.499,1,0.0579,199.526,4,0.26,https://open.spotify.com/track/3ISYGHoYnu4gos6JNMfL4z,spotify:track:3ISYGHoYnu4gos6JNMfL4z
Keeping Your Head Up - Don Diablo Remix; Radio Edit,7KCXA4Y1gIGDSm388m9bW1,single,Keeping Your Head Up (Don Diablo Remix; Radio Edit),2016-02-12,,,207145,51,0.46,0.639,0.931,0,11,0.0942,-1.73,1,0.0708,126.084,4,0.471,https://open.spotify.com/track/7KCXA4Y1gIGDSm388m9bW1,spotify:track:7KCXA4Y1gIGDSm388m9bW1
Touch,1v3HLCJoEbZe0vocQP5X9a,single,Atlas: Senses,2016-05-06,,,255046,38,0.955,0.4,0.0996,0.0000037,0,0.104,-11.819,1,0.0421,84.321,3,0.187,https://open.spotify.com/track/1v3HLCJoEbZe0vocQP5X9a,spotify:track:1v3HLCJoEbZe0vocQP5X9a
Thirteen,3BQLTtpQOYGXQY2lT3ZZeU,album,#1 Record,1972,,,154666,56,0.674,0.457,0.268,0.00000577,0,0.11,-14.371,0,0.0319,117.141,4,0.348,https://open.spotify.com/track/3BQLTtpQOYGXQY2lT3ZZeU,spotify:track:3BQLTtpQOYGXQY2lT3ZZeU
Billie Jean,2zbq8QdgWACnYdKTu2xIE4,single,Billie Jean,2016-05-13,,,236068,51,0.0812,0.314,0.61,0,3,0.31,-5.394,0,0.154,89.878,4,0.455,https://open.spotify.com/track/2zbq8QdgWACnYdKTu2xIE4,spotify:track:2zbq8QdgWACnYdKTu2xIE4
