track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Get Free,0yhGTljYYHyP7phuxoKWiJ,album,Free The Universe (Extended Version),2013-04-16,,,289973,59,0.103,0.612,0.657,0.124,11,0.131,-6.971,0,0.0454,87.94,4,0.767,https://open.spotify.com/track/0yhGTljYYHyP7phuxoKWiJ,spotify:track:0yhGTljYYHyP7phuxoKWiJ
First Night Out,00QA6kDTxsghd5vukZfxeE,single,First Night Out,2021-07-30,,,233600,18,0.000895,0.713,0.977,0.0711,7,0.111,-6.165,1,0.088,128.976,4,0.311,https://open.spotify.com/track/00QA6kDTxsghd5vukZfxeE,spotify:track:00QA6kDTxsghd5vukZfxeE
Kaneba,01dnvO2H3SxeUxFgUtY7sM,compilation,mo'vibes (Various Artists),2021-01-01,,,436687,37,0.00112,0.764,0.66,0.73,6,0.124,-9.337,0,0.0499,119.983,4,0.182,https://open.spotify.com/track/01dnvO2H3SxeUxFgUtY7sM,spotify:track:01dnvO2H3SxeUxFgUtY7sM
Soul Sacrifice,01fVbxyW9y2oKdXvg56uE5,single,Soul Sacrifice,2019-01-24,,,232211,51,0.00783,0.847,0.934,0.494,9,0.0797,-5.381,1,0.0442,126.035,4,0.863,https://open.spotify.com/track/01fVbxyW9y2oKdXvg56uE5,spotify:track:01fVbxyW9y2oKdXvg56uE5
Rattle,02617jpcGEjoUCRsFrkXfv,single,Rattle,2019-10-14,,,409749,32,0.00321,0.759,0.826,0.871,0,0.0849,-10.339,0,0.0487,127.991,4,0.0759,https://open.spotify.com/track/02617jpcGEjoUCRsFrkXfv,spotify:track:02617jpcGEjoUCRsFrkXfv
The Best Part,04BNQFaBlFF7WDeTb1V0AP,single,The Best Part,2021-07-14,,,250000,71,0.0203,0.688,0.654,0.251,4,0.117,-8.521,1,0.0493,123.011,4,0.59,https://open.spotify.com/track/04BNQFaBlFF7WDeTb1V0AP,spotify:track:04BNQFaBlFF7WDeTb1V0AP
In My House,04IgJ57BQyj2f1jssk3gu9,single,In My House,2018-04-13,,,232904,41,0.00579,0.688,0.952,0.933,3,0.304,-4.169,0,0.0381,124.007,4,0.44,https://open.spotify.com/track/04IgJ57BQyj2f1jssk3gu9,spotify:track:04IgJ57BQyj2f1jssk3gu9
Electric Feel,04XreyYjcyIKr6Z4e6e2tb,single,Electric Feel,2018-05-18,,,241951,46,0.000419,0.724,0.899,0.689,8,0.131,-7.551,1,0.0459,122.969,4,0.142,https://open.spotify.com/track/04XreyYjcyIKr6Z4e6e2tb,spotify:track:04XreyYjcyIKr6Z4e6e2tb
Whisper (with James Yuill) - John Summit Remix,04mYhQGTujxxPjPzxRrgTL,single,Whisper (with James Yuill) [John Summit Remix],2021-10-01,,,184271,38,0.00136,0.801,0.671,0.737,0,0.117,-8.286,1,0.0432,127.008,4,0.406,https://open.spotify.com/track/04mYhQGTujxxPjPzxRrgTL,spotify:track:04mYhQGTujxxPjPzxRrgTL
Often Wrong (Tourist Remix),05KoaO9qOQReEMStPuWTxo,single,Often Wrong (Tourist Remix),2020-04-01,,,348868,22,0.26,0.686,0.782,0.703,4,0.0952,-8.346,1,0.0538,119.999,4,0.367,https://open.spotify.com/track/05KoaO9qOQReEMStPuWTxo,spotify:track:05KoaO9qOQReEMStPuWTxo
Feeling Good,05bhKPmpsiVLzT0BdwbLpA,single,Feeling Good,2020-07-17,,,390971,29,0.000144,0.836,0.781,0.546,7,0.0784,-8.403,1,0.0489,123.996,4,0.418,https://open.spotify.com/track/05bhKPmpsiVLzT0BdwbLpA,spotify:track:05bhKPmpsiVLzT0BdwbLpA
Love Affair,078RYWTtCzEcNCjvdP4yHL,single,001 EP,2021-10-20,,,228879,17,0.00527,0.622,0.738,0.916,2,0.235,-10.594,1,0.0396,128.037,4,0.139,https://open.spotify.com/track/078RYWTtCzEcNCjvdP4yHL,spotify:track:078RYWTtCzEcNCjvdP4yHL
How Does It Feel - Endor Remix,07IzJw23z4zcqeZ4zVoc3d,single,How Does It Feel (Endor Remix),2019-07-05,,,205724,32,0.000808,0.798,0.807,0.252,7,0.0554,-5.646,1,0.0442,125.999,4,0.605,https://open.spotify.com/track/07IzJw23z4zcqeZ4zVoc3d,spotify:track:07IzJw23z4zcqeZ4zVoc3d
Just To Hear You Say - Joseph Ray Remix,09wkyp6dMAo5JakEj49R0M,album,In Another Lifetime (Remixed),2022-07-29,,,303145,46,0.00114,0.692,0.785,0.231,8,0.14,-7.867,0,0.0549,124.016,4,0.292,https://open.spotify.com/track/09wkyp6dMAo5JakEj49R0M,spotify:track:09wkyp6dMAo5JakEj49R0M
Le Freak - Oliver Heldens Remix,0BOoghyiRci1ANsQba1FKS,single,Le Freak (Oliver Heldens Remix),2018-11-14,,,232522,37,0.00942,0.859,0.757,0.0377,7,0.105,-6.005,1,0.0736,124.986,4,0.563,https://open.spotify.com/track/0BOoghyiRci1ANsQba1FKS,spotify:track:0BOoghyiRci1ANsQba1FKS
Sweet Disposition - Vijay & Sofia Edit,0DkDdziZQNIyJ0EWVLi5f6,single,Sweet Disposition (Vijay & Sofia Edit),2020-07-10,,,208886,47,0.75,0.729,0.663,0.625,7,0.109,-10.817,1,0.0497,120.028,4,0.318,https://open.spotify.com/track/0DkDdziZQNIyJ0EWVLi5f6,spotify:track:0DkDdziZQNIyJ0EWVLi5f6
