track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Caution,111HOSfnPX1mCxwwb49BCY,album,Imploding The Mirage,2020-08-21,,,269533,61,0.0155,0.234,0.894,0.0000217,7,0.0869,-4.841,1,0.119,178.246,4,0.0772,https://open.spotify.com/track/111HOSfnPX1mCxwwb49BCY,spotify:track:111HOSfnPX1mCxwwb49BCY
Across the Rolling Hills (Padmasambhava),5itoXeX4qmMjeHJAF9eXD7,album,Legacy,2010-09-07,,,229306,32,0.804,0.604,0.427,0.00000772,10,0.131,-9.199,1,0.0272,100.891,4,0.463,https://open.spotify.com/track/5itoXeX4qmMjeHJAF9eXD7,spotify:track:5itoXeX4qmMjeHJAF9eXD7
The Revolution Will Not Be Televised,7kjg2NCn3Zx70m1DFHSSGO,album,Pieces of a Man,1971-01-01,,,185878,0,0.537,0.558,0.678,0,11,0.0995,-12.38,0,0.22,180.538,4,0.96,https://open.spotify.com/track/7kjg2NCn3Zx70m1DFHSSGO,spotify:track:7kjg2NCn3Zx70m1DFHSSGO
Caution - Radio Edit,4cI2rd2D44mBjwUVFxTkUZ,single,Caution (Radio Edit),2020-03-12,,,228040,52,0.00525,0.278,0.931,0.00000578,7,0.144,-3.719,1,0.121,178.346,4,0.167,https://open.spotify.com/track/4cI2rd2D44mBjwUVFxTkUZ,spotify:track:4cI2rd2D44mBjwUVFxTkUZ
Baby It's You,3Yoy8R29IewKS8sO80L4XB,single,Baby It's You,2020-08-19,,,242239,46,0.085,0.508,0.827,0.0134,2,0.0572,-8.612,1,0.0357,118.009,4,0.14,https://open.spotify.com/track/3Yoy8R29IewKS8sO80L4XB,spotify:track:3Yoy8R29IewKS8sO80L4XB
The Difference - Jon Hopkins Remix,3743gdiZ12ZJA3VrOf6U61,single,The Difference (Jon Hopkins Remix),2020-06-17,,,326281,35,0.000802,0.62,0.791,0.745,1,0.138,-6.839,1,0.031,140.014,4,0.361,https://open.spotify.com/track/3743gdiZ12ZJA3VrOf6U61,spotify:track:3743gdiZ12ZJA3VrOf6U61
SHUM,7mEDVrAHDnQJStDo8jKJJm,single,SHUM,2021-03-10,,,172675,1,0.05,0.527,0.737,0.0000785,4,0.105,-5.34,1,0.0642,116.431,4,0.499,https://open.spotify.com/track/7mEDVrAHDnQJStDo8jKJJm,spotify:track:7mEDVrAHDnQJStDo8jKJJm
Seul avec du monde autour,3thFDKQiVTO3zpjppG91BE,album,Civilisation,2021-11-19,,,208594,60,0.0273,0.721,0.733,0,8,0.118,-7.026,1,0.258,77.045,4,0.317,https://open.spotify.com/track/3thFDKQiVTO3zpjppG91BE,spotify:track:3thFDKQiVTO3zpjppG91BE
Serotonin,1q2Zb0v5ZGxKDktEz7wSPb,single,Serotonin,2021-03-03,,,182426,1,0.0123,0.58,0.788,0.0000184,2,0.368,-4.714,1,0.259,148.992,4,0.72,https://open.spotify.com/track/1q2Zb0v5ZGxKDktEz7wSPb,spotify:track:1q2Zb0v5ZGxKDktEz7wSPb
Bodies,5mueyPaJsGl0bGiZSu1z0e,single,Bodies,2020-07-31,,,209293,55,0.032,0.584,0.599,0,11,0.0481,-4.243,1,0.0342,112.048,4,0.634,https://open.spotify.com/track/5mueyPaJsGl0bGiZSu1z0e,spotify:track:5mueyPaJsGl0bGiZSu1z0e
Na Ye,3vHxHY8tZwJcBrgrugLTlC,album,Toto Bona Lokua,2005,,,215733,33,0.786,0.516,0.482,0.00000219,5,0.13,-10.119,1,0.158,176.048,3,0.839,https://open.spotify.com/track/3vHxHY8tZwJcBrgrugLTlC,spotify:track:3vHxHY8tZwJcBrgrugLTlC
Rêve mieux,6AZjI0TIQ6yuluJXt3oj2S,album,Civilisation,2021-11-19,,,224266,53,0.442,0.59,0.437,0,11,0.123,-11.003,0,0.296,74.94,3,0.27,https://open.spotify.com/track/6AZjI0TIQ6yuluJXt3oj2S,spotify:track:6AZjI0TIQ6yuluJXt3oj2S
London. Paris. Berlin.,4OwMTUrschknwvALozCuoD,album,Tomorrow’s People,2021-08-20,,,245200,49,0.505,0.774,0.793,0.745,1,0.0932,-10.899,0,0.0483,127.986,4,0.685,https://open.spotify.com/track/4OwMTUrschknwvALozCuoD,spotify:track:4OwMTUrschknwvALozCuoD
Look at the Sky,5lXNcc8QeM9KpAWNHAL0iS,album,Nurture,2021-04-23,,,309985,60,0.0105,0.568,0.564,0.000127,6,0.0766,-8.231,1,0.0273,115.059,4,0.385,https://open.spotify.com/track/5lXNcc8QeM9KpAWNHAL0iS,spotify:track:5lXNcc8QeM9KpAWNHAL0iS
do-re-mi-fa-so-la-ti-do,6MDBkIEBEodrBPG5CPb8IG,album,Nurture,2021-04-23,,,214930,48,0.0958,0.562,0.602,0.579,5,0.136,-10.032,0,0.0334,172.065,4,0.695,https://open.spotify.com/track/6MDBkIEBEodrBPG5CPb8IG,spotify:track:6MDBkIEBEodrBPG5CPb8IG
Another Level,4Bd1yNEOD5aX6NVU8eLlsa,single,NRG 444,2020-02-07,,,302825,0,0.00131,0.722,0.822,0.871,6,0.0797,-4.606,0,0.0339,130.001,4,0.0385,https://open.spotify.com/track/4Bd1yNEOD5aX6NVU8eLlsa,spotify:track:4Bd1yNEOD5aX6NVU8eLlsa
All Eyes On Me (Song Only),47emsK4Cj4dMqctYq18U03,single,All Eyes On Me (Song Only),2021-07-02,,,212860,61,0.716,0.247,0.442,0,6,0.0655,-8.703,1,0.041,62.952,4,0.261,https://open.spotify.com/track/47emsK4Cj4dMqctYq18U03,spotify:track:47emsK4Cj4dMqctYq18U03
Imploding The Mirage,690W3U6pfNcfy7JN8GtqUi,album,Imploding The Mirage,2020-08-21,,,247826,50,0.207,0.493,0.893,0,0,0.121,-4.276,1,0.0987,156.14,4,0.326,https://open.spotify.com/track/690W3U6pfNcfy7JN8GtqUi,spotify:track:690W3U6pfNcfy7JN8GtqUi
Wind Tempos,4GKSQD4lm08ORPorzi2wOb,album,Nurture,2021-04-23,,,364114,50,0.949,0.277,0.32,0.00323,1,0.1,-11.579,1,0.0357,96.493,3,0.0636,https://open.spotify.com/track/4GKSQD4lm08ORPorzi2wOb,spotify:track:4GKSQD4lm08ORPorzi2wOb
oh baby,53PkA8aXiwH4ppa0V0iO7o,album,american dream,2017-09-01,,,349693,60,0.0192,0.58,0.622,0.653,5,0.648,-12.005,1,0.0352,169.442,4,0.781,https://open.spotify.com/track/53PkA8aXiwH4ppa0V0iO7o,spotify:track:53PkA8aXiwH4ppa0V0iO7o
The Tendieman,0mh6zeW12aO54LLq2cuzla,single,The Tendieman,2021-01-19,,,134413,19,0.889,0.607,0.304,0,0,0.241,-9.787,0,0.501,191.934,4,0.776,https://open.spotify.com/track/0mh6zeW12aO54LLq2cuzla,spotify:track:0mh6zeW12aO54LLq2cuzla
The Things We Do,4nYb6EZpeRI3ZM1O0UquQ5,single,The Things We Do,2020-07-10,,,252066,41,0.0204,0.735,0.689,0.00344,3,0.0499,-4.575,0,0.0379,114.983,4,0.624,https://open.spotify.com/track/4nYb6EZpeRI3ZM1O0UquQ5,spotify:track:4nYb6EZpeRI3ZM1O0UquQ5
Hypnotized,0OeFuOAu0P1ONYz5EDdqb2,single,Hypnotized,2020-04-08,,,195704,51,0.0968,0.69,0.813,0.000324,11,0.108,-5.084,0,0.0994,108.067,4,0.703,https://open.spotify.com/track/0OeFuOAu0P1ONYz5EDdqb2,spotify:track:0OeFuOAu0P1ONYz5EDdqb2
You and Me,00bq71I9OZ87M6jZqQFV6I,single,Renaissance,2020-05-15,,,214958,56,0.000415,0.646,0.814,0.0305,7,0.0882,-5.263,0,0.0437,121.043,4,0.117,https://open.spotify.com/track/00bq71I9OZ87M6jZqQFV6I,spotify:track:00bq71I9OZ87M6jZqQFV6I
